"","PUMA","PWGTP","CIT","CITWP","COW","ENG","FER","HIMRKS","HINS1","HINS2","HINS3","HINS4","JWMNP","JWRIP","JWTRNS","LANX","MAR","MARHT","MARHYP","MIG","NWAB","NWLA","NWLK","SCH","SCHG","SCHL","SEX","WAGP","WKHP","WRK","YOEP","ANC","ANC1P","ANC2P","DECADE","DRIVESP","ESR","INDP","JWDP","LANP","MIGPUMA","MSP","NATIVITY","OCCP","PAOC","PERNP","PINCP","POBP","POVPIP","POWPUMA","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","SCIENGP","SCIENGRLP","WAOB","Class"
"16","402",16,"5","0","0","2","2","2","2","1","2","2",0,0,"0","1","5","0","0","2","2","2","2","3","15","19","2",0,0,"2","3","1","152","999","8","0","6","9920","0","1278","3","6","2","9920","0",0,0,"154","0","0","1","2","3","1","1000","1","0","0","1","0","1","0","0","5",0
"18","902",63,"1","0","1","1","2","2","2","1","2","2",30,1,"1","1","1","1","2","1","3","3","3","1","0","21","2",120000,36,"1","0","1","210","999","0","1","1","7580","127","1200","0","1","1","3255","4",120000,120000,"48","2","800","1","2","4","9","9000","29","0","0","2","1","1","2","1","1",0
"19","604",46,"1","0","7","0","0","0","1","2","2","2",10,1,"1","2","1","1","2","1","3","3","3","1","0","18","2",1e+05,30,"1","0","2","51","50","0","1","1","8980","49","9999","0","1","1","440","4",1e+05,1e+05,"25","2","600","1","2","4","1","1000","1","0","0","1","0","1","0","0","1",0
"21","611",58,"1","0","1","0","0","0","1","2","1","2",30,1,"1","2","1","1","2","1","3","3","3","1","0","18","1",35000,40,"1","0","2","32","142","0","1","1","4971","92","9999","0","1","1","9645","0",35000,62700,"9","2","900","1","1","1","1","1000","1","0","0","1","0","1","0","0","1",0
"22","609",96,"1","0","2","0","2","0","1","2","2","2",45,1,"1","2","1","1","2","3","3","3","3","1","0","22","2",115000,45,"1","0","2","22","51","0","1","1","8570","55","9999","3","1","1","2400","3",115000,115000,"50","2","800","1","2","1","1","1000","1","0","0","1","0","1","2","2","1",0
"23","902",91,"1","0","0","0","0","0","2","2","1","1",0,0,"0","2","1","1","2","1","2","2","2","1","0","16","2",0,0,"2","0","1","50","999","0","0","6","9920","0","9999","0","1","1","9920","4",0,26900,"25","1","0","2","1","4","1","1000","1","0","0","1","0","1","0","0","1",0
"24","806",86,"1","0","5","0","2","0","1","2","2","2",5,1,"1","2","5","0","0","1","3","3","3","1","0","22","2",95000,40,"1","0","2","84","261","0","1","1","9370","49","9999","0","6","1","2850","4",95000,95000,"36","2","800","1","2","3","9","9000","29","0","0","2","1","1","1","2","1",0
"25","703",44,"4","2","0","0","0","2","2","1","1","2",0,0,"0","2","1","1","2","1","2","2","2","1","0","15","2",0,0,"2","3","2","32","171","3","0","6","9920","0","9999","0","1","2","9920","4",0,7300,"110","1","0","1","1","3","1","1000","1","0","0","1","0","1","0","0","5",0
"26","703",100,"1","0","1","0","2","0","1","2","2","2",45,1,"1","2","1","1","2","1","3","3","3","3","15","21","2",20000,20,"1","0","3","996","999","0","1","1","8191","37","9999","0","1","1","3603","2",20000,20000,"25","1","600","1","2","2","8","8000","15","0","0","1","1","0","2","1","1",0
"28","608",77,"1","0","1","0","0","0","1","2","2","2",35,0,"3","2","5","0","0","1","3","3","3","1","0","21","1",150000,50,"1","0","2","148","144","0","0","1","7780","55","9999","0","6","1","150","0",150000,150000,"36","2","800","1","2","4","1","1000","1","0","0","1","0","1","1","2","1",0
"29","704",175,"1","0","1","1","2","0","1","2","2","1",0,0,"0","1","5","0","0","1","2","2","1","2","13","13","2",0,0,"2","0","1","261","999","0","0","3","4971","0","1200","0","6","1","4720","4",0,0,"25","1","0","1","1","3","8","8000","15","0","0","1","1","0","0","0","1",0
"30","1104",36,"1","0","0","0","0","0","1","2","2","2",0,0,"0","2","5","0","0","1","3","3","3","1","0","16","1",0,0,"0","0","1","902","999","0","0","6","9920","0","9999","0","6","1","9920","0",0,0,"25","0","0","1","2","1","2","3000","2","0","1","1","0","0","0","0","1",0
"32","705",185,"5","0","0","4","2","0","1","2","2","2",0,0,"0","1","1","1","2","1","2","2","2","1","0","19","2",0,0,"2","3","1","222","999","8","0","6","9920","0","1200","0","1","2","9920","4",0,0,"313","1","0","1","2","1","8","8000","15","0","0","1","1","0","0","0","3",0
"34","1004",95,"1","0","0","0","0","0","2","2","1","1",0,0,"0","2","1","2","2","1","2","2","2","1","0","16","1",0,0,"2","0","1","82","999","0","0","6","9920","0","9999","0","1","1","9920","0",0,22400,"25","1","0","2","1","3","1","1000","1","0","0","1","0","1","0","0","1",0
"35","503",162,"5","0","6","4","2","0","2","2","2","1",0,0,"11","1","1","1","2","1","3","3","3","1","0","16","2",0,40,"1","3","1","360","999","8","0","1","8470","0","1210","0","1","2","4600","3",770,770,"362","1","500","2","1","4","9","9000","29","0","0","2","1","1","0","0","3",0
