"","RT","DIVISION","SPORDER","PUMA","REGION","STATE","ADJINC","PWGTP","CIT","COW","GCL","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS5","HINS6","HINS7","INTP","JWTRNS","LANX","MAR","MARHD","MARHM","MARHT","MARHW","MARHYP","MIG","MIL","NWAB","NWAV","NWLA","NWLK","NWRE","OIP","PAP","RETP","SCH","SCHL","SEMP","SEX","SSIP","SSP","WAGP","WKHP","WKWN","WRK","ANC","ANC1P","ANC2P","ESR","HICOV","HISP","INDP","MSP","NATIVITY","OC","OCCP","PERNP","PINCP","POBP","POVPIP","POWPUMA","POWSP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACAIAN","RACASN","RACBLK","RACNH","RACNUM","RACPI","RACSOR","RACWHT","RC","WAOB","Class"
"19","P","1",1,"604","1","25","1019518",46,"1","7","2","0","1","2","2","2","2","2","2","0","1","2","1","2","2","1","2",1990,"1","4","3","5","3","3","3","0","0","0","1","18","0","2","0","0",1e+05,30,"52","1","2","51","50","1","1","1","8980","1","1","0","440",1e+05,1e+05,"25",501,"600","25","1","2","4","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"21","P","1",2,"611","1","25","1019518",58,"1","1","2","0","1","2","1","2","2","2","2","0","1","2","1","2","2","1","2",1984,"1","4","3","5","3","3","3","0","0","0","1","18","0","1","0","27700",35000,40,"52","1","2","32","142","1","1","1","4971","1","1","0","9645",35000,62700,"9",501,"900","25","1","1","1","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"22","P","1",1,"609","1","25","1019518",96,"1","2","2","0","1","2","2","2","2","2","2","0","1","2","1","2","2","1","2",2012,"3","4","3","5","3","3","3","0","0","0","1","22","0","2","0","0",115000,45,"52","1","2","22","51","1","1","1","8570","1","1","0","2400",115000,115000,"50",501,"800","25","1","2","1","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"23","P","1",2,"902","1","25","1019518",91,"1","1","2","0","2","2","1","1","2","2","2","0","1","2","1","2","2","1","2",1979,"1","4","2","5","2","2","3","0","0","10100","1","16","0","2","16800","0",0,40,"52","2","1","50","999","6","1","1","7860","1","1","0","3255",0,26900,"25",315,"600","25","2","1","4","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"24","P","1",2,"806","1","25","1019518",86,"1","5","2","0","1","2","2","2","2","2","2","0","1","2","5","2","2","1","2",1994,"1","4","3","5","3","3","3","0","0","0","1","22","0","2","0","0",95000,40,"52","1","2","84","261","1","1","3","9370","6","1","0","2850",95000,95000,"36",501,"800","25","1","2","3","9","9000","29","0","0","0","0","2","0","1","1","0","1","No"
"25","P","1",2,"703","1","25","1019518",44,"4","1","1","2","2","1","1","2","2","2","2","0","1","2","1","2","2","1","2",1967,"1","4","2","5","2","2","3","0","0","6000","1","15","0","2","0","1300",0,40,"52","2","2","32","171","6","1","1","7860","1","2","0","3255",0,7300,"110",390,"600","25","1","1","3","1","1000","1","0","0","0","0","1","0","0","1","0","5","No"
"30","P","1",1,"1104","1","25","1019518",36,"1","1","2","0","1","2","2","2","2","2","2","0","1","2","5","2","2","1","2",1994,"1","4","3","5","3","3","3","0","0","0","1","16","0","1","0","0",0,40,"52","1","1","902","999","6","1","1","7860","6","1","0","3255",0,0,"25",449,"600","25","1","2","1","2","3000","2","0","0","1","0","1","0","0","0","0","1","No"
"34","P","1",1,"1004","1","25","1019518",95,"1","1","1","0","2","2","1","1","2","2","2","0","1","2","1","2","2","2","2",2010,"1","4","2","5","2","2","3","0","0","20000","1","16","0","1","0","2400",0,40,"52","2","1","82","999","6","1","1","7860","1","1","0","3255",0,22400,"25",141,"600","25","2","1","3","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"38","P","1",1,"704","1","25","1019518",52,"1","1","2","2","2","1","1","2","2","2","2","1500","1","2","1","2","2","2","2",1998,"1","4","3","5","3","3","3","0","0","0","1","22","0","1","0","17000",0,40,"52","1","4","999","999","6","1","1","7860","1","1","0","3255",0,18500,"25",222,"600","25","1","1","2","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
"39","P","1",1,"606","1","25","1019518",52,"1","7","2","0","1","2","2","2","2","2","2","0","1","2","1","2","2","1","2",1999,"1","4","3","5","3","3","3","0","0","0","1","23","0","2","0","0",148000,40,"52","1","1","490","999","1","1","1","8191","1","1","0","3090",148000,148000,"25",501,"600","25","1","2","3","1","1000","1","0","0","0","0","1","0","0","1","0","1","No"
