"","X","PUMA","PWGTP","CIT","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS6","LANX","MAR","MIG","MIL","NWAB","NWAV","NWLA","NWLK","RETP","SCH","SCHL","SEX","SSP","WAGP","ANC","ANC1P","ANC2P","ESR","MSP","NATIVITY","PINCP","POBP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","WAOB","Class"
"43",51,801,62,5,0,1,2,2,2,2,2,5,1,4,3,5,3,3,0,1,24,2,0,60000,1,144,999,1,6,2,60000,132,1,2,1,1,1000,1,0,0,1,0,1,5,"0"
"44",52,403,44,1,2,1,1,1,2,2,2,2,1,4,2,5,2,2,0,1,16,2,21600,0,1,939,999,6,3,1,29400,25,1,1,2,1,1000,1,0,0,1,0,1,1,"0"
"45",54,802,99,2,0,1,2,2,2,2,1,1,1,4,3,5,3,3,0,1,24,2,0,57000,2,291,84,1,1,1,57000,72,1,2,2,9,9000,62,0,1,3,1,1,2,"0"
"46",55,501,102,4,0,2,2,2,2,2,1,1,1,2,3,3,1,1,0,1,17,1,0,30000,1,360,999,1,1,2,30000,362,2,2,4,9,9000,29,0,0,2,1,1,3,"0"
"47",56,905,51,1,2,2,1,1,2,2,2,1,1,4,2,5,2,2,12600,1,21,1,0,0,2,50,935,6,1,1,50300,25,1,1,3,1,1000,1,0,0,1,0,1,1,"0"
"48",57,100,103,1,0,2,2,1,1,2,2,5,1,4,2,1,2,1,0,1,17,1,3000,500,1,51,999,3,6,1,11700,25,2,1,1,1,1000,1,0,0,1,0,1,1,"1"
"49",58,507,55,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,23,2,0,72000,2,142,148,1,1,1,72000,9,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"50",59,704,54,1,0,1,2,2,2,2,2,5,1,4,2,5,2,2,0,2,12,2,0,0,1,51,999,1,6,1,0,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"51",60,1004,142,1,0,2,2,2,1,2,2,5,1,4,2,5,2,2,0,3,11,2,0,0,2,261,22,1,6,1,0,33,2,1,4,9,9000,29,0,0,2,1,1,1,"1"
"52",61,905,211,1,0,2,2,2,1,2,2,5,1,4,2,5,2,2,0,1,20,2,0,0,1,902,999,6,6,1,1300,25,2,1,2,2,3000,2,0,1,1,0,0,1,"0"
"53",62,802,165,2,0,2,2,1,1,2,1,5,1,4,2,5,2,2,0,1,3,1,0,0,1,261,999,6,6,1,12320,72,2,1,1,9,9000,62,0,1,3,1,1,2,"0"
"54",64,1103,55,3,2,2,1,1,2,2,1,5,1,4,3,5,3,3,5600,1,16,1,14500,35000,1,510,999,1,6,1,55100,408,1,1,4,8,8000,15,0,0,1,1,0,6,"0"
"55",65,401,101,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,19,2,0,50000,2,51,88,1,1,1,50000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"56",66,503,71,5,0,1,2,2,2,2,1,1,3,4,3,5,3,3,0,3,21,2,0,65000,1,152,999,1,1,2,65000,154,1,2,4,1,1000,1,0,0,1,0,1,5,"0"
"57",67,606,53,5,0,1,2,2,2,2,1,1,1,4,3,5,3,3,0,1,22,1,0,140000,4,999,999,1,1,2,140000,210,1,2,2,6,4015,4,1,0,1,0,0,4,"0"
"58",68,803,84,1,0,1,2,2,2,2,2,5,1,4,3,5,3,3,0,1,21,2,0,70000,1,142,999,1,6,1,70000,50,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"59",69,505,65,1,2,2,1,2,2,2,1,5,3,4,3,5,3,3,0,3,19,1,0,4000,4,999,999,6,6,1,4000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"60",70,701,49,4,0,1,2,2,2,2,1,5,1,4,3,5,3,3,0,3,12,1,0,3000,4,999,999,3,6,2,3000,130,1,2,1,1,1000,1,0,0,1,0,1,5,"0"
"61",71,607,76,1,0,1,2,2,2,2,2,1,1,4,2,5,2,2,68000,1,16,2,0,0,2,51,50,6,1,1,68000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"62",72,1104,82,4,0,1,2,2,2,2,1,3,1,4,3,5,3,3,0,1,24,1,0,182000,4,999,999,1,4,2,182000,138,1,2,3,1,1000,1,0,0,1,0,1,5,"0"
"63",73,501,113,1,0,2,2,1,2,2,2,1,1,4,2,5,2,2,3000,1,20,2,0,0,2,142,32,6,1,1,3000,9,2,1,1,1,1000,1,0,0,1,0,1,1,"0"
"64",75,613,100,4,0,2,2,1,1,2,1,2,1,4,2,5,2,2,0,1,21,1,0,0,1,148,999,6,3,2,7000,163,2,1,1,1,1000,1,0,0,1,0,1,5,"1"
"65",76,403,34,1,0,1,2,1,2,2,2,1,1,4,1,1,2,3,6100,1,16,2,0,47000,2,88,190,2,1,1,53100,36,1,1,4,1,1000,1,0,0,1,0,1,1,"0"
"66",77,703,94,1,0,1,2,2,2,2,2,5,1,4,3,5,3,3,0,1,16,1,0,150000,2,50,51,1,6,1,150000,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"67",78,602,65,1,0,1,2,2,1,2,1,5,1,4,3,5,3,3,0,1,13,2,0,5000,4,999,999,2,6,1,5000,25,1,1,2,6,4007,10,1,0,1,0,0,1,"0"
"68",80,504,120,5,0,1,2,1,1,2,2,1,1,4,2,5,2,2,15400,1,16,1,0,0,1,50,999,6,1,2,15400,119,1,1,1,1,1000,1,0,0,1,0,1,5,"0"
"69",81,507,21,1,0,1,2,2,2,2,2,5,1,4,3,5,3,3,0,3,16,1,0,500,4,999,999,1,6,1,500,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"70",83,602,32,5,0,1,2,2,2,2,1,1,1,4,3,5,3,3,0,1,19,2,0,30000,4,999,999,1,2,2,30000,206,1,2,4,6,4007,10,1,0,1,0,0,4,"0"
"71",84,806,154,5,0,1,2,2,2,2,1,1,3,4,2,1,2,1,0,1,21,2,0,110000,1,210,999,3,1,2,110000,303,1,2,4,1,1000,1,0,0,1,0,1,3,"0"
"72",85,802,52,1,2,2,1,2,2,2,2,5,1,4,3,5,3,3,0,1,21,1,0,40000,2,46,50,1,6,1,40000,9,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"73",86,100,63,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,16,1,0,30000,1,925,999,1,1,1,30000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"74",87,904,18,1,0,2,2,1,2,2,2,1,3,4,3,5,3,3,0,1,16,2,13800,0,4,999,999,6,2,1,13800,25,2,1,4,1,1000,1,0,0,1,0,1,1,"1"
"75",88,1103,201,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,16,2,0,56000,1,935,999,1,1,1,56000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"76",89,802,38,1,0,2,2,2,1,2,1,5,1,4,2,5,2,2,0,3,21,2,0,0,1,706,999,6,6,1,0,25,2,1,1,6,4000,5,1,0,1,0,0,1,"0"
"77",90,1104,70,1,2,2,1,2,2,2,2,3,1,4,3,5,3,3,0,1,16,2,0,30000,4,999,999,1,4,1,30000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"78",92,805,49,5,0,2,2,2,1,2,2,5,1,4,3,5,3,3,0,1,16,1,0,70000,1,50,999,1,6,2,70000,119,2,1,4,1,1000,1,0,0,1,0,1,5,"0"
"79",93,603,68,4,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,3,21,1,0,75000,3,995,999,1,1,2,75000,332,1,2,3,8,8000,15,0,0,1,1,0,3,"0"
"80",94,1104,110,1,2,1,1,1,2,2,2,4,3,4,3,5,3,3,8500,1,21,1,0,22000,1,50,999,1,5,1,35500,25,1,1,4,1,1000,1,0,0,1,0,1,1,"0"
"81",95,501,17,1,0,2,2,2,1,2,2,5,1,4,3,5,3,3,22000,1,17,1,0,40000,4,999,999,1,6,1,62000,23,2,1,3,1,1000,1,0,0,1,0,1,1,"0"
"82",96,608,60,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,20,2,0,63000,1,51,999,1,1,1,63000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"83",97,803,25,1,0,1,2,2,2,2,2,5,3,4,3,5,3,3,0,1,21,2,0,85000,3,996,999,1,6,1,85000,24,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"84",98,906,54,1,0,2,2,1,2,2,2,5,1,4,2,5,2,2,4800,1,16,2,2000,0,2,50,939,6,6,1,6800,25,2,1,1,1,1000,1,0,0,1,0,1,1,"0"
"85",99,611,215,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,21,1,0,100000,1,750,999,1,1,1,100000,25,1,2,1,6,4003,8,1,0,1,0,0,1,"0"
"86",100,607,50,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,21,2,0,0,1,89,999,1,1,1,20000,36,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"87",101,1004,69,1,0,2,2,2,1,2,2,1,1,4,3,5,3,3,0,1,19,2,0,3600,1,84,999,1,1,1,3600,25,2,1,2,1,1000,1,0,0,1,0,1,1,"0"
"88",102,705,200,1,0,2,2,2,1,2,2,5,1,4,2,1,2,1,0,1,16,1,0,0,2,50,26,3,6,1,0,25,2,1,2,1,1000,1,0,0,1,0,1,1,"0"
"89",103,805,61,1,0,1,2,2,2,2,2,5,1,4,3,5,3,3,0,1,23,2,0,100000,2,50,935,1,6,1,100000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"90",104,903,82,1,0,1,2,2,2,2,2,1,3,4,1,5,2,3,0,1,16,1,0,2000,1,87,999,2,1,1,2000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"91",105,1104,73,1,0,1,2,2,2,2,2,5,3,4,3,5,3,3,0,2,21,2,0,55000,2,22,84,1,6,1,55000,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"92",106,201,14,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,16,2,0,45000,4,999,999,1,1,1,45000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"93",107,601,33,1,0,1,2,2,2,2,2,5,1,4,2,5,2,2,0,3,13,1,0,5000,2,50,21,6,6,1,5000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"94",108,706,56,1,2,2,1,2,2,2,2,1,1,4,3,5,3,3,0,1,21,2,0,35000,4,999,999,1,1,1,35000,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"95",109,201,17,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,16,2,0,52000,1,26,999,1,1,1,52000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"96",110,601,59,1,0,2,2,1,2,2,2,1,1,4,2,5,2,2,0,1,22,2,13000,0,1,46,999,6,1,1,13000,25,2,1,4,1,1000,1,0,0,1,0,1,1,"0"
"97",111,1003,102,4,2,1,1,1,2,2,1,1,1,4,3,5,2,3,0,1,22,2,3000,0,1,84,999,6,1,2,39000,129,1,1,2,1,1000,1,0,0,1,0,1,5,"0"
"98",112,301,42,1,0,2,2,1,2,2,2,1,1,4,3,5,3,3,0,1,22,2,20000,45000,2,22,50,1,2,1,65000,4,2,1,3,1,1000,1,0,0,1,0,1,1,"0"
"99",113,608,95,1,0,1,2,2,2,2,2,5,1,4,3,5,3,3,0,3,21,2,0,90000,4,999,999,1,6,1,91200,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"100",114,702,43,1,0,1,2,2,2,2,2,5,1,4,3,5,3,3,0,2,14,1,0,0,4,999,999,6,6,1,0,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"101",115,905,51,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,21,1,0,100000,4,999,999,1,1,1,100000,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"102",116,606,166,4,0,1,2,2,2,2,1,1,1,4,3,5,3,3,0,1,24,2,0,72000,1,603,999,1,1,2,72000,202,1,2,4,6,4016,10,1,0,1,0,0,4,"0"
"103",117,606,62,1,0,1,2,2,2,2,2,5,3,4,3,5,3,3,0,1,21,2,0,19000,2,142,32,1,6,1,19000,21,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"104",118,805,62,1,0,1,2,2,2,2,2,3,1,4,3,5,3,3,0,1,21,2,0,98000,1,50,999,1,4,1,98000,36,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"105",119,1103,49,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,21,2,0,90000,1,50,999,1,1,1,90000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"106",120,704,82,1,0,2,2,1,2,2,2,1,1,4,2,5,2,2,46900,1,20,1,33900,0,1,22,999,6,1,1,80800,25,2,1,2,1,1000,1,0,0,1,0,1,1,"0"
"107",121,1004,60,1,0,1,2,2,2,2,2,5,1,4,3,5,3,3,0,3,16,2,0,0,4,999,999,6,6,1,0,36,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"108",122,701,73,1,2,2,1,1,2,2,2,1,1,4,2,5,2,2,0,1,16,2,15600,0,1,32,999,6,1,1,15600,25,1,1,1,1,1000,1,0,0,1,0,1,1,"0"
"109",123,601,97,1,0,2,2,1,2,2,2,1,1,4,2,5,2,2,0,1,20,1,16800,500,1,939,999,6,1,1,17300,26,2,1,4,1,1000,1,0,0,1,0,1,1,"0"
"110",124,1104,43,1,0,1,2,1,2,2,2,2,1,4,2,3,2,2,62000,1,22,2,0,0,1,142,999,6,3,1,63100,25,1,1,2,1,1000,1,0,0,1,0,1,1,"1"
"111",125,402,156,1,0,2,2,2,1,2,2,5,1,4,3,5,3,3,0,1,18,2,0,26000,4,999,999,1,6,1,26000,25,2,1,2,1,1000,1,0,0,1,0,1,1,"0"
"112",126,803,152,4,0,2,2,2,2,2,2,3,1,4,2,5,2,2,0,1,1,1,0,0,4,999,999,6,4,2,0,247,2,2,1,6,4014,9,1,0,1,0,0,4,"0"
"113",128,603,90,1,0,2,2,1,2,2,2,1,1,3,2,5,2,2,59000,1,22,1,28600,0,1,51,999,6,1,1,90600,25,2,1,4,1,1000,1,0,0,1,0,1,1,"0"
"114",129,802,20,1,0,1,2,2,2,2,2,5,3,4,3,5,3,3,0,3,16,2,0,7500,1,939,999,1,6,1,7500,34,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"115",130,301,33,4,0,1,2,2,2,2,1,5,3,4,3,5,3,3,0,2,18,2,0,250,4,999,999,6,6,2,250,210,1,2,2,6,4025,76,1,0,1,0,0,4,"0"
"116",131,901,58,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,24,2,0,161000,2,32,142,1,1,1,161000,42,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"117",132,607,100,1,0,1,2,2,2,2,2,1,1,4,2,5,2,2,0,1,21,2,0,0,2,32,998,6,1,1,0,35,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"118",133,702,37,4,0,1,2,2,2,2,1,1,1,4,3,5,2,3,0,1,20,2,0,30000,2,200,84,1,1,2,30000,329,1,2,3,9,9000,29,0,0,2,1,1,3,"0"
"119",134,1301,55,1,2,2,1,1,1,2,2,3,1,4,2,5,2,2,46000,1,21,2,4500,0,2,32,142,6,4,1,77300,39,1,1,3,1,1000,1,0,0,1,0,1,1,"0"
"120",135,503,44,1,2,2,1,1,2,2,2,1,1,4,2,3,2,2,1000,1,21,2,12000,0,1,50,999,6,1,1,13000,36,1,1,2,1,1000,1,0,0,1,0,1,1,"0"
"121",138,1201,43,4,0,2,2,1,2,2,2,1,1,4,3,5,3,3,0,1,22,1,0,101000,1,22,999,1,1,2,101000,138,2,1,4,1,1000,1,0,0,1,0,1,5,"0"
"122",139,401,81,1,2,2,1,1,2,2,2,1,1,4,2,5,2,2,15600,1,19,2,24700,0,1,50,999,6,1,1,40300,25,1,1,1,1,1000,1,0,0,1,0,1,1,"0"
"123",140,503,85,1,0,1,2,2,2,2,1,5,1,4,2,5,2,2,0,1,16,2,0,37000,1,939,999,1,6,1,37000,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"124",141,1201,199,1,0,1,2,2,2,2,2,1,1,4,2,5,2,2,0,1,17,2,0,0,1,50,999,6,1,1,0,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"125",142,706,48,1,2,2,1,1,2,2,2,3,1,4,2,3,2,2,15100,1,22,2,24000,0,2,50,82,6,4,1,45590,25,1,1,2,1,1000,1,0,0,1,0,1,1,"0"
"126",143,201,113,1,0,1,2,2,2,2,2,5,1,4,3,5,3,3,0,1,19,2,0,13000,1,935,999,1,6,1,13000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"127",145,601,58,1,0,1,2,1,2,2,2,1,1,4,3,5,3,3,0,1,21,1,3600,10000,1,22,999,1,1,1,77700,25,1,1,3,1,1000,1,0,0,1,0,1,1,"0"
"128",146,602,63,1,2,2,1,1,2,2,2,2,1,4,2,5,2,2,2500,1,21,2,1800,0,1,50,999,6,3,1,4300,25,1,1,3,1,1000,1,0,0,1,0,1,1,"1"
"129",148,609,112,4,0,2,2,1,2,2,2,1,1,4,2,5,2,2,0,1,15,1,0,0,4,999,999,6,1,2,0,120,2,1,1,1,1000,1,0,0,1,0,1,5,"0"
"130",149,901,48,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,21,2,0,40000,2,50,82,1,1,1,40000,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"131",150,706,34,1,0,1,2,2,2,2,2,1,1,4,3,5,3,3,0,1,18,1,0,85000,4,999,999,1,1,1,85000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"132",151,301,9,1,0,1,2,2,2,2,1,5,3,4,3,5,3,3,0,3,19,1,0,10000,1,795,999,1,6,1,10300,25,1,2,4,6,4025,10,1,0,1,0,0,1,"0"
"133",153,802,32,1,2,2,1,2,2,2,2,5,3,4,3,5,3,3,0,1,21,2,0,67000,1,22,999,1,6,1,67000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
