"","PUMA","PWGTP","CIT","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS6","INTP","LANX","MAR","MIG","MIL","NWAB","NWAV","NWLA","NWLK","RETP","SCH","SCHL","SEX","SSP","WAGP","ANC","ANC1P","ANC2P","ESR","MSP","NATIVITY","PINCP","POBP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","WAOB","Class"
"890",502,52,1,0,1,2,1,2,2,0,2,1,1,4,2,5,2,2,25000,1,16,2,3500,0,2,24,22,6,1,1,28500,25,1,1,1,1,1000,1,0,0,1,0,1,1,"0"
"891",402,75,1,0,1,2,2,2,2,0,1,1,1,4,3,5,3,3,0,1,20,2,0,8000,1,261,999,1,1,1,8000,25,1,2,4,8,8000,15,0,0,1,1,0,1,"0"
"892",1103,64,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,3,22,2,0,65000,1,50,999,1,1,1,65000,9,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"894",1003,149,5,0,2,2,1,1,2,0,1,3,1,4,2,5,2,2,0,1,8,2,10800,0,1,84,999,6,4,2,10800,130,2,1,3,1,1000,1,0,0,1,0,1,5,"0"
"895",902,59,1,0,1,2,1,2,2,0,2,5,1,4,2,5,2,2,0,1,16,2,1600,0,1,50,999,6,6,1,1600,25,1,1,4,1,1000,1,0,0,1,0,1,1,"0"
"896",703,88,1,0,2,2,1,2,2,0,2,1,1,2,3,5,3,3,0,1,21,1,15000,25000,2,22,32,1,1,1,40000,18,2,1,4,1,1000,1,0,0,1,0,1,1,"0"
"897",706,54,1,2,2,1,1,2,2,10,2,1,1,4,2,5,2,2,0,1,20,1,20000,0,1,939,999,6,1,1,20010,33,1,1,3,1,1000,1,0,0,1,0,1,1,"0"
"898",402,94,4,0,1,2,2,2,2,0,1,3,1,4,3,5,3,3,0,1,21,2,0,96000,1,750,999,1,4,2,96000,217,1,2,4,6,4003,8,1,0,1,0,0,4,"0"
"899",100,66,5,0,2,2,1,1,2,0,2,1,1,4,2,5,2,2,9500,1,21,1,21900,34300,1,22,999,6,1,2,65700,238,2,1,1,1,1000,1,0,0,1,0,1,4,"0"
"901",1104,56,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,21,2,0,70000,1,24,999,1,1,1,70000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"902",201,97,1,0,2,2,1,1,2,0,2,3,1,4,2,5,2,2,0,1,16,1,20400,0,2,935,920,6,4,1,20400,25,2,1,4,1,1000,1,0,0,1,0,1,1,"0"
"904",701,64,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,22,2,0,45000,4,999,999,1,6,1,45000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"905",609,153,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,21,1,0,109000,2,171,129,1,1,1,109000,11,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"906",801,25,5,2,2,1,2,2,2,0,2,5,2,4,2,5,2,2,0,3,22,1,0,0,1,615,999,6,6,2,0,210,1,2,4,6,4015,4,1,0,1,0,0,4,"0"
"907",201,21,1,2,2,1,2,2,2,0,2,1,1,4,3,5,3,3,0,1,19,2,0,29000,2,89,935,1,1,1,29000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"908",1103,66,1,0,2,2,2,1,2,0,2,1,1,4,3,5,3,3,0,1,21,2,0,0,1,50,999,1,1,1,29000,25,2,1,2,1,1000,1,0,0,1,0,1,1,"0"
"909",401,53,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,16,1,0,0,2,51,26,1,1,1,60000,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
