"","PUMA","PWGTP","CIT","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS6","INTP","LANX","MAR","MIG","MIL","NWAB","NWAV","NWLA","NWLK","RETP","SCH","SCHL","SEX","SSP","WAGP","ANC","ANC1P","ANC2P","ESR","MSP","NATIVITY","PINCP","POBP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","WAOB","Class"
"1",505,61,1,0,1,2,2,2,2,0,2,3,1,4,3,5,3,3,0,1,18,2,0,48000,1,50,999,1,4,1,48000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"2",201,43,1,2,2,1,1,1,2,0,2,2,1,4,2,3,2,2,1800,1,16,2,17000,0,1,22,999,6,3,1,18800,25,1,1,1,1,1000,1,0,0,1,0,1,1,"0"
"3",1301,51,1,2,2,1,1,2,2,0,2,1,1,4,2,5,2,2,10000,1,21,1,45500,0,2,50,22,6,1,1,105500,36,1,1,2,1,1000,1,0,0,1,0,1,1,"0"
"5",1001,89,1,2,2,1,1,2,2,0,2,1,1,4,2,5,2,2,50000,1,22,1,30000,0,1,84,999,6,1,1,80000,25,1,1,4,1,1000,1,0,0,1,0,1,1,"0"
"6",301,82,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,21,2,0,0,1,195,999,1,1,1,66000,26,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"7",1004,35,4,2,2,1,2,2,2,0,1,1,1,4,2,5,2,2,2000,1,14,1,0,40000,1,84,999,1,1,2,42000,362,1,2,4,1,1000,1,0,0,1,0,1,3,"0"
"8",803,60,4,0,2,2,2,1,2,0,1,1,1,4,3,5,3,3,0,1,15,2,0,12000,1,706,999,1,1,2,12000,207,2,1,3,6,4000,5,1,0,1,0,0,4,"0"
"9",1201,53,1,0,1,2,2,2,2,340,2,1,1,1,3,5,3,3,0,2,19,1,0,47300,2,32,22,4,1,1,47640,19,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"10",706,84,1,2,2,1,1,2,2,0,2,3,1,4,3,5,3,3,10300,1,15,2,27500,0,4,999,999,6,4,1,37800,25,1,1,1,1,1000,1,0,0,1,0,1,1,"0"
"11",1003,54,1,0,2,2,1,2,2,1500,2,1,1,4,2,5,2,2,1500,1,20,2,11000,0,1,51,999,6,1,1,14000,25,1,1,1,1,1000,1,0,0,1,0,1,1,"0"
"13",605,22,1,0,2,2,1,1,2,0,2,2,3,4,3,5,3,3,13600,1,16,2,9600,0,3,996,999,6,3,1,23200,25,2,1,3,1,1000,1,0,0,1,0,1,1,"1"
"14",507,161,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,16,2,0,66000,1,26,999,1,1,1,66000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"15",505,108,1,2,1,1,2,2,2,0,2,1,1,4,3,5,3,3,0,1,19,2,0,45000,3,996,999,1,1,1,45000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"16",402,16,5,2,2,1,2,2,2,0,1,5,2,4,2,5,2,2,0,3,19,2,0,0,1,152,999,6,6,2,0,154,1,2,3,1,1000,1,0,0,1,0,1,5,"0"
"18",902,63,1,2,2,1,2,2,2,0,1,1,1,4,3,5,3,3,0,1,21,2,0,120000,1,210,999,1,1,1,120000,48,1,2,4,9,9000,29,0,0,2,1,1,1,"0"
"19",604,46,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,18,2,0,100000,2,51,50,1,1,1,100000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"20",201,193,1,2,2,1,1,1,2,0,2,5,1,4,3,5,3,3,0,1,14,1,3000,500,4,999,999,3,6,1,11700,36,1,1,4,1,1000,1,0,0,1,0,1,1,"0"
"21",611,58,1,0,1,2,1,2,2,0,2,1,1,4,3,5,3,3,0,1,18,1,27700,35000,2,32,142,1,1,1,62700,9,1,1,1,1,1000,1,0,0,1,0,1,1,"0"
"22",609,96,1,0,1,2,2,2,2,0,2,1,3,4,3,5,3,3,0,1,22,2,0,115000,2,22,51,1,1,1,115000,50,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"23",902,91,1,0,2,2,1,1,2,0,2,1,1,4,2,5,2,2,10100,1,16,2,0,0,1,50,999,6,1,1,26900,25,2,1,4,1,1000,1,0,0,1,0,1,1,"0"
"24",806,86,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,22,2,0,95000,2,84,261,1,6,1,95000,36,1,2,3,9,9000,29,0,0,2,1,1,1,"0"
"25",703,44,4,2,2,1,1,2,2,0,2,1,1,4,2,5,2,2,6000,1,15,2,1300,0,2,32,171,6,1,2,7300,110,1,1,3,1,1000,1,0,0,1,0,1,5,"0"
"26",703,100,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,3,21,2,0,20000,3,996,999,1,1,1,20000,25,1,2,2,8,8000,15,0,0,1,1,0,1,"0"
"28",608,77,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,21,1,0,150000,2,148,144,1,6,1,150000,36,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"29",704,175,1,0,1,2,2,1,2,0,1,5,1,4,2,1,2,1,0,2,13,2,0,0,1,261,999,3,6,1,0,25,1,1,3,8,8000,15,0,0,1,1,0,1,"0"
"30",1104,36,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,16,1,0,0,1,902,999,6,6,1,0,25,1,2,1,2,3000,2,0,1,1,0,0,1,"0"
"32",705,185,5,0,1,2,2,2,2,0,1,1,1,4,2,5,2,2,0,1,19,2,0,0,1,222,999,6,1,2,0,313,1,2,1,8,8000,15,0,0,1,1,0,3,"0"
"33",704,212,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,19,1,0,15000,4,999,999,1,6,1,15000,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"34",1004,95,1,0,2,2,1,1,2,0,2,1,1,4,2,5,2,2,20000,1,16,1,2400,0,1,82,999,6,1,1,22400,25,2,1,3,1,1000,1,0,0,1,0,1,1,"0"
"35",503,162,5,0,2,2,2,1,2,0,1,1,1,4,3,5,3,3,0,1,16,2,0,0,1,360,999,1,1,2,770,362,2,1,4,9,9000,29,0,0,2,1,1,3,"0"
"36",301,205,1,0,1,2,1,1,2,0,2,5,3,4,3,5,3,3,0,2,19,1,0,12000,4,999,999,3,6,1,12000,25,1,1,1,1,1000,1,0,0,1,0,1,1,"0"
"37",610,36,1,0,2,2,1,2,2,0,2,1,1,4,3,5,3,3,0,1,19,1,0,10000,2,51,32,1,1,1,10000,36,2,1,1,1,1000,1,0,0,1,0,1,1,"0"
"38",704,52,1,2,2,1,1,2,2,1500,2,1,1,4,3,5,3,3,0,1,22,1,17000,0,4,999,999,6,1,1,18500,25,1,1,2,1,1000,1,0,0,1,0,1,1,"0"
"39",606,52,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,23,2,0,148000,1,490,999,1,1,1,148000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"40",507,99,1,0,1,2,2,2,2,0,2,2,1,4,3,5,3,3,0,1,20,2,0,90000,1,84,999,1,3,1,90000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"41",1103,148,1,0,1,2,1,1,2,0,2,2,1,4,2,5,2,2,0,1,20,1,0,0,1,51,999,6,3,1,0,25,1,1,2,1,1000,1,0,0,1,0,1,1,"0"
"42",504,73,5,0,2,2,1,1,2,0,1,1,1,4,3,5,3,3,0,1,23,2,0,0,4,999,999,6,2,2,0,427,2,1,3,2,3000,2,0,1,1,0,0,6,"0"
"43",1301,201,1,0,1,2,2,2,2,5000,2,5,1,4,3,5,3,3,0,1,22,1,0,36000,4,999,999,1,6,1,41000,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"44",604,16,1,0,2,2,1,1,2,0,2,2,3,4,3,5,3,3,8000,1,16,2,11900,0,3,996,999,6,3,1,19900,25,2,1,2,1,1000,1,0,0,1,0,1,1,"1"
"45",1004,58,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,20,2,0,30000,2,26,84,1,6,1,30000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"47",601,60,1,0,1,2,1,2,2,0,2,1,1,4,2,5,2,2,55000,1,21,2,0,0,2,142,50,6,1,1,55000,25,1,1,4,1,1000,1,0,0,1,0,1,1,"0"
"49",1201,162,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,21,2,0,45000,1,87,999,1,1,1,45000,34,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"51",801,62,5,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,24,2,0,60000,1,144,999,1,6,2,60000,132,1,2,1,1,1000,1,0,0,1,0,1,5,"0"
"52",403,44,1,2,1,1,1,2,2,7800,2,2,1,4,2,5,2,2,0,1,16,2,21600,0,1,939,999,6,3,1,29400,25,1,1,2,1,1000,1,0,0,1,0,1,1,"0"
"54",802,99,2,0,1,2,2,2,2,0,1,1,1,4,3,5,3,3,0,1,24,2,0,57000,2,291,84,1,1,1,57000,72,1,2,2,9,9000,62,0,1,3,1,1,2,"0"
"55",501,102,4,0,2,2,2,2,2,0,1,1,1,2,3,3,1,1,0,1,17,1,0,30000,1,360,999,1,1,2,30000,362,2,2,4,9,9000,29,0,0,2,1,1,3,"0"
"56",905,51,1,2,2,1,1,2,2,37700,2,1,1,4,2,5,2,2,12600,1,21,1,0,0,2,50,935,6,1,1,50300,25,1,1,3,1,1000,1,0,0,1,0,1,1,"0"
"57",100,103,1,0,2,2,1,1,2,0,2,5,1,4,2,1,2,1,0,1,17,1,3000,500,1,51,999,3,6,1,11700,25,2,1,1,1,1000,1,0,0,1,0,1,1,"1"
"58",507,55,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,23,2,0,72000,2,142,148,1,1,1,72000,9,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"59",704,54,1,0,1,2,2,2,2,0,2,5,1,4,2,5,2,2,0,2,12,2,0,0,1,51,999,1,6,1,0,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"60",1004,142,1,0,2,2,2,1,2,0,2,5,1,4,2,5,2,2,0,3,11,2,0,0,2,261,22,1,6,1,0,33,2,1,4,9,9000,29,0,0,2,1,1,1,"1"
"61",905,211,1,0,2,2,2,1,2,0,2,5,1,4,2,5,2,2,0,1,20,2,0,0,1,902,999,6,6,1,1300,25,2,1,2,2,3000,2,0,1,1,0,0,1,"0"
"62",802,165,2,0,2,2,1,1,2,0,1,5,1,4,2,5,2,2,0,1,3,1,0,0,1,261,999,6,6,1,12320,72,2,1,1,9,9000,62,0,1,3,1,1,2,"0"
"64",1103,55,3,2,2,1,1,2,2,0,1,5,1,4,3,5,3,3,5600,1,16,1,14500,35000,1,510,999,1,6,1,55100,408,1,1,4,8,8000,15,0,0,1,1,0,6,"0"
"65",401,101,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,19,2,0,50000,2,51,88,1,1,1,50000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"66",503,71,5,0,1,2,2,2,2,0,1,1,3,4,3,5,3,3,0,3,21,2,0,65000,1,152,999,1,1,2,65000,154,1,2,4,1,1000,1,0,0,1,0,1,5,"0"
"67",606,53,5,0,1,2,2,2,2,0,1,1,1,4,3,5,3,3,0,1,22,1,0,140000,4,999,999,1,1,2,140000,210,1,2,2,6,4015,4,1,0,1,0,0,4,"0"
"68",803,84,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,21,2,0,70000,1,142,999,1,6,1,70000,50,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"69",505,65,1,2,2,1,2,2,2,0,1,5,3,4,3,5,3,3,0,3,19,1,0,4000,4,999,999,6,6,1,4000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"70",701,49,4,0,1,2,2,2,2,0,1,5,1,4,3,5,3,3,0,3,12,1,0,3000,4,999,999,3,6,2,3000,130,1,2,1,1,1000,1,0,0,1,0,1,5,"0"
"71",607,76,1,0,1,2,2,2,2,0,2,1,1,4,2,5,2,2,68000,1,16,2,0,0,2,51,50,6,1,1,68000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"72",1104,82,4,0,1,2,2,2,2,0,1,3,1,4,3,5,3,3,0,1,24,1,0,182000,4,999,999,1,4,2,182000,138,1,2,3,1,1000,1,0,0,1,0,1,5,"0"
"73",501,113,1,0,2,2,1,2,2,0,2,1,1,4,2,5,2,2,3000,1,20,2,0,0,2,142,32,6,1,1,3000,9,2,1,1,1,1000,1,0,0,1,0,1,1,"0"
"75",613,100,4,0,2,2,1,1,2,0,1,2,1,4,2,5,2,2,0,1,21,1,0,0,1,148,999,6,3,2,7000,163,2,1,1,1,1000,1,0,0,1,0,1,5,"1"
"76",403,34,1,0,1,2,1,2,2,0,2,1,1,4,1,1,2,3,6100,1,16,2,0,47000,2,88,190,2,1,1,53100,36,1,1,4,1,1000,1,0,0,1,0,1,1,"0"
"77",703,94,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,16,1,0,150000,2,50,51,1,6,1,150000,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"78",602,65,1,0,1,2,2,1,2,0,1,5,1,4,3,5,3,3,0,1,13,2,0,5000,4,999,999,2,6,1,5000,25,1,1,2,6,4007,10,1,0,1,0,0,1,"0"
"80",504,120,5,0,1,2,1,1,2,0,2,1,1,4,2,5,2,2,15400,1,16,1,0,0,1,50,999,6,1,2,15400,119,1,1,1,1,1000,1,0,0,1,0,1,5,"0"
"81",507,21,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,3,16,1,0,500,4,999,999,1,6,1,500,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"83",602,32,5,0,1,2,2,2,2,0,1,1,1,4,3,5,3,3,0,1,19,2,0,30000,4,999,999,1,2,2,30000,206,1,2,4,6,4007,10,1,0,1,0,0,4,"0"
"84",806,154,5,0,1,2,2,2,2,0,1,1,3,4,2,1,2,1,0,1,21,2,0,110000,1,210,999,3,1,2,110000,303,1,2,4,1,1000,1,0,0,1,0,1,3,"0"
"85",802,52,1,2,2,1,2,2,2,0,2,5,1,4,3,5,3,3,0,1,21,1,0,40000,2,46,50,1,6,1,40000,9,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"86",100,63,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,16,1,0,30000,1,925,999,1,1,1,30000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"87",904,18,1,0,2,2,1,2,2,0,2,1,3,4,3,5,3,3,0,1,16,2,13800,0,4,999,999,6,2,1,13800,25,2,1,4,1,1000,1,0,0,1,0,1,1,"1"
"88",1103,201,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,16,2,0,56000,1,935,999,1,1,1,56000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"89",802,38,1,0,2,2,2,1,2,0,1,5,1,4,2,5,2,2,0,3,21,2,0,0,1,706,999,6,6,1,0,25,2,1,1,6,4000,5,1,0,1,0,0,1,"0"
"90",1104,70,1,2,2,1,2,2,2,0,2,3,1,4,3,5,3,3,0,1,16,2,0,30000,4,999,999,1,4,1,30000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"92",805,49,5,0,2,2,2,1,2,0,2,5,1,4,3,5,3,3,0,1,16,1,0,70000,1,50,999,1,6,2,70000,119,2,1,4,1,1000,1,0,0,1,0,1,5,"0"
"93",603,68,4,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,3,21,1,0,75000,3,995,999,1,1,2,75000,332,1,2,3,8,8000,15,0,0,1,1,0,3,"0"
"94",1104,110,1,2,1,1,1,2,2,5000,2,4,3,4,3,5,3,3,8500,1,21,1,0,22000,1,50,999,1,5,1,35500,25,1,1,4,1,1000,1,0,0,1,0,1,1,"0"
"95",501,17,1,0,2,2,2,1,2,0,2,5,1,4,3,5,3,3,22000,1,17,1,0,40000,4,999,999,1,6,1,62000,23,2,1,3,1,1000,1,0,0,1,0,1,1,"0"
"96",608,60,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,20,2,0,63000,1,51,999,1,1,1,63000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"97",803,25,1,0,1,2,2,2,2,0,2,5,3,4,3,5,3,3,0,1,21,2,0,85000,3,996,999,1,6,1,85000,24,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"98",906,54,1,0,2,2,1,2,2,0,2,5,1,4,2,5,2,2,4800,1,16,2,2000,0,2,50,939,6,6,1,6800,25,2,1,1,1,1000,1,0,0,1,0,1,1,"0"
"99",611,215,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,21,1,0,100000,1,750,999,1,1,1,100000,25,1,2,1,6,4003,8,1,0,1,0,0,1,"0"
"100",607,50,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,21,2,0,0,1,89,999,1,1,1,20000,36,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"101",1004,69,1,0,2,2,2,1,2,0,2,1,1,4,3,5,3,3,0,1,19,2,0,3600,1,84,999,1,1,1,3600,25,2,1,2,1,1000,1,0,0,1,0,1,1,"0"
"102",705,200,1,0,2,2,2,1,2,0,2,5,1,4,2,1,2,1,0,1,16,1,0,0,2,50,26,3,6,1,0,25,2,1,2,1,1000,1,0,0,1,0,1,1,"0"
"103",805,61,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,23,2,0,100000,2,50,935,1,6,1,100000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"104",903,82,1,0,1,2,2,2,2,0,2,1,3,4,1,5,2,3,0,1,16,1,0,2000,1,87,999,2,1,1,2000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"105",1104,73,1,0,1,2,2,2,2,0,2,5,3,4,3,5,3,3,0,2,21,2,0,55000,2,22,84,1,6,1,55000,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"106",201,14,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,16,2,0,45000,4,999,999,1,1,1,45000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"107",601,33,1,0,1,2,2,2,2,0,2,5,1,4,2,5,2,2,0,3,13,1,0,5000,2,50,21,6,6,1,5000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"108",706,56,1,2,2,1,2,2,2,0,2,1,1,4,3,5,3,3,0,1,21,2,0,35000,4,999,999,1,1,1,35000,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"109",201,17,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,16,2,0,52000,1,26,999,1,1,1,52000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"110",601,59,1,0,2,2,1,2,2,0,2,1,1,4,2,5,2,2,0,1,22,2,13000,0,1,46,999,6,1,1,13000,25,2,1,4,1,1000,1,0,0,1,0,1,1,"0"
"111",1003,102,4,2,1,1,1,2,2,0,1,1,1,4,3,5,2,3,0,1,22,2,3000,0,1,84,999,6,1,2,39000,129,1,1,2,1,1000,1,0,0,1,0,1,5,"0"
"112",301,42,1,0,2,2,1,2,2,0,2,1,1,4,3,5,3,3,0,1,22,2,20000,45000,2,22,50,1,2,1,65000,4,2,1,3,1,1000,1,0,0,1,0,1,1,"0"
"113",608,95,1,0,1,2,2,2,2,1200,2,5,1,4,3,5,3,3,0,3,21,2,0,90000,4,999,999,1,6,1,91200,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"114",702,43,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,2,14,1,0,0,4,999,999,6,6,1,0,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"115",905,51,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,21,1,0,100000,4,999,999,1,1,1,100000,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"116",606,166,4,0,1,2,2,2,2,0,1,1,1,4,3,5,3,3,0,1,24,2,0,72000,1,603,999,1,1,2,72000,202,1,2,4,6,4016,10,1,0,1,0,0,4,"0"
"117",606,62,1,0,1,2,2,2,2,0,2,5,3,4,3,5,3,3,0,1,21,2,0,19000,2,142,32,1,6,1,19000,21,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"118",805,62,1,0,1,2,2,2,2,0,2,3,1,4,3,5,3,3,0,1,21,2,0,98000,1,50,999,1,4,1,98000,36,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"119",1103,49,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,21,2,0,90000,1,50,999,1,1,1,90000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"120",704,82,1,0,2,2,1,2,2,0,2,1,1,4,2,5,2,2,46900,1,20,1,33900,0,1,22,999,6,1,1,80800,25,2,1,2,1,1000,1,0,0,1,0,1,1,"0"
"121",1004,60,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,3,16,2,0,0,4,999,999,6,6,1,0,36,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"122",701,73,1,2,2,1,1,2,2,0,2,1,1,4,2,5,2,2,0,1,16,2,15600,0,1,32,999,6,1,1,15600,25,1,1,1,1,1000,1,0,0,1,0,1,1,"0"
"123",601,97,1,0,2,2,1,2,2,0,2,1,1,4,2,5,2,2,0,1,20,1,16800,500,1,939,999,6,1,1,17300,26,2,1,4,1,1000,1,0,0,1,0,1,1,"0"
"124",1104,43,1,0,1,2,1,2,2,1100,2,2,1,4,2,3,2,2,62000,1,22,2,0,0,1,142,999,6,3,1,63100,25,1,1,2,1,1000,1,0,0,1,0,1,1,"1"
"125",402,156,1,0,2,2,2,1,2,0,2,5,1,4,3,5,3,3,0,1,18,2,0,26000,4,999,999,1,6,1,26000,25,2,1,2,1,1000,1,0,0,1,0,1,1,"0"
"126",803,152,4,0,2,2,2,2,2,0,2,3,1,4,2,5,2,2,0,1,1,1,0,0,4,999,999,6,4,2,0,247,2,2,1,6,4014,9,1,0,1,0,0,4,"0"
"128",603,90,1,0,2,2,1,2,2,3000,2,1,1,3,2,5,2,2,59000,1,22,1,28600,0,1,51,999,6,1,1,90600,25,2,1,4,1,1000,1,0,0,1,0,1,1,"0"
"129",802,20,1,0,1,2,2,2,2,0,2,5,3,4,3,5,3,3,0,3,16,2,0,7500,1,939,999,1,6,1,7500,34,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"130",301,33,4,0,1,2,2,2,2,0,1,5,3,4,3,5,3,3,0,2,18,2,0,250,4,999,999,6,6,2,250,210,1,2,2,6,4025,76,1,0,1,0,0,4,"0"
"131",901,58,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,24,2,0,161000,2,32,142,1,1,1,161000,42,1,2,3,1,1000,1,0,0,1,0,1,1,"0"
"132",607,100,1,0,1,2,2,2,2,0,2,1,1,4,2,5,2,2,0,1,21,2,0,0,2,32,998,6,1,1,0,35,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"133",702,37,4,0,1,2,2,2,2,0,1,1,1,4,3,5,2,3,0,1,20,2,0,30000,2,200,84,1,1,2,30000,329,1,2,3,9,9000,29,0,0,2,1,1,3,"0"
"134",1301,55,1,2,2,1,1,1,2,0,2,3,1,4,2,5,2,2,46000,1,21,2,4500,0,2,32,142,6,4,1,77300,39,1,1,3,1,1000,1,0,0,1,0,1,1,"0"
"135",503,44,1,2,2,1,1,2,2,0,2,1,1,4,2,3,2,2,1000,1,21,2,12000,0,1,50,999,6,1,1,13000,36,1,1,2,1,1000,1,0,0,1,0,1,1,"0"
"138",1201,43,4,0,2,2,1,2,2,0,2,1,1,4,3,5,3,3,0,1,22,1,0,101000,1,22,999,1,1,2,101000,138,2,1,4,1,1000,1,0,0,1,0,1,5,"0"
"139",401,81,1,2,2,1,1,2,2,0,2,1,1,4,2,5,2,2,15600,1,19,2,24700,0,1,50,999,6,1,1,40300,25,1,1,1,1,1000,1,0,0,1,0,1,1,"0"
"140",503,85,1,0,1,2,2,2,2,0,1,5,1,4,2,5,2,2,0,1,16,2,0,37000,1,939,999,1,6,1,37000,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"141",1201,199,1,0,1,2,2,2,2,0,2,1,1,4,2,5,2,2,0,1,17,2,0,0,1,50,999,6,1,1,0,25,1,2,2,1,1000,1,0,0,1,0,1,1,"0"
"142",706,48,1,2,2,1,1,2,2,690,2,3,1,4,2,3,2,2,15100,1,22,2,24000,0,2,50,82,6,4,1,45590,25,1,1,2,1,1000,1,0,0,1,0,1,1,"0"
"143",201,113,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,19,2,0,13000,1,935,999,1,6,1,13000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"145",601,58,1,0,1,2,1,2,2,100,2,1,1,4,3,5,3,3,0,1,21,1,3600,10000,1,22,999,1,1,1,77700,25,1,1,3,1,1000,1,0,0,1,0,1,1,"0"
"146",602,63,1,2,2,1,1,2,2,0,2,2,1,4,2,5,2,2,2500,1,21,2,1800,0,1,50,999,6,3,1,4300,25,1,1,3,1,1000,1,0,0,1,0,1,1,"1"
"148",609,112,4,0,2,2,1,2,2,0,2,1,1,4,2,5,2,2,0,1,15,1,0,0,4,999,999,6,1,2,0,120,2,1,1,1,1000,1,0,0,1,0,1,5,"0"
"149",901,48,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,21,2,0,40000,2,50,82,1,1,1,40000,25,1,2,1,1,1000,1,0,0,1,0,1,1,"0"
"150",706,34,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,18,1,0,85000,4,999,999,1,1,1,85000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"151",301,9,1,0,1,2,2,2,2,300,1,5,3,4,3,5,3,3,0,3,19,1,0,10000,1,795,999,1,6,1,10300,25,1,2,4,6,4025,10,1,0,1,0,0,1,"0"
"153",802,32,1,2,2,1,2,2,2,0,2,5,3,4,3,5,3,3,0,1,21,2,0,67000,1,22,999,1,6,1,67000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"0"
"154",905,94,1,0,1,2,1,2,1,0,2,3,1,2,3,5,3,2,22800,1,16,1,2500,0,2,50,26,6,4,1,45300,25,1,1,2,1,1000,1,0,0,1,0,1,1,"0"
"155",906,17,1,0,2,2,1,1,2,0,2,5,1,4,2,5,2,2,0,1,1,2,13200,0,1,998,999,6,6,1,13200,36,2,1,3,1,1000,1,0,0,1,0,1,1,"1"
"156",805,147,1,0,2,2,2,1,2,0,2,5,1,4,2,1,2,1,0,1,20,1,0,300,1,902,999,1,6,1,9700,25,2,1,3,2,3000,2,0,1,1,0,0,1,"0"
"157",1004,141,1,0,2,2,2,1,2,0,2,3,1,4,2,5,2,2,0,1,12,1,0,0,4,999,999,6,4,1,0,25,2,1,3,1,1000,1,0,0,1,0,1,1,"1"
"158",704,53,1,0,1,2,1,2,2,2900,2,2,1,3,2,2,2,2,55000,1,19,1,32500,0,2,22,26,6,3,1,90400,50,1,1,1,1,1000,1,0,0,1,0,1,1,"0"
"159",1201,59,1,2,2,1,1,2,2,0,2,2,1,4,2,5,2,2,0,1,24,1,7200,0,1,142,999,6,3,1,30000,36,1,1,3,1,1000,1,0,0,1,0,1,1,"0"
"160",505,65,1,0,2,2,1,1,2,0,1,1,3,4,3,5,3,3,0,1,16,1,24000,0,1,902,999,6,2,1,24000,25,2,1,4,2,3000,2,0,1,1,0,0,1,"1"
