"SPORDER","PUMA","PWGTP","CIT","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS6","INTP","LANX","MAR","MIG","MIL","NWAB","NWAV","NWLA","NWLK","RETP","SCH","SCHL","SEX","SSP","WAGP","ANC","ANC1P","ANC2P","ESR","MSP","NATIVITY","PINCP","POBP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","WAOB","Class"
1,505,61,1,0,1,2,2,2,2,0,2,3,1,4,3,5,3,3,0,1,18,2,0,48000,1,50,999,1,4,1,48000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"No"
1,201,43,1,2,2,1,1,1,2,0,2,2,1,4,2,3,2,2,1800,1,16,2,17000,0,1,22,999,6,3,1,18800,25,1,1,1,1,1000,1,0,0,1,0,1,1,"No"
2,1301,51,1,2,2,1,1,2,2,0,2,1,1,4,2,5,2,2,10000,1,21,1,45500,0,2,50,22,6,1,1,105500,36,1,1,2,1,1000,1,0,0,1,0,1,1,"No"
1,1001,89,1,2,2,1,1,2,2,0,2,1,1,4,2,5,2,2,50000,1,22,1,30000,0,1,84,999,6,1,1,80000,25,1,1,4,1,1000,1,0,0,1,0,1,1,"No"
2,301,82,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,21,2,0,0,1,195,999,1,1,1,66000,26,1,2,4,1,1000,1,0,0,1,0,1,1,"No"
2,1004,35,4,2,2,1,2,2,2,0,1,1,1,4,2,5,2,2,2000,1,14,1,0,40000,1,84,999,1,1,2,42000,362,1,2,4,1,1000,1,0,0,1,0,1,3,"No"
1,803,60,4,0,2,2,2,1,2,0,1,1,1,4,3,5,3,3,0,1,15,2,0,12000,1,706,999,1,1,2,12000,207,2,1,3,6,4000,5,1,0,1,0,0,4,"No"
1,706,84,1,2,2,1,1,2,2,0,2,3,1,4,3,5,3,3,10300,1,15,2,27500,0,4,999,999,6,4,1,37800,25,1,1,1,1,1000,1,0,0,1,0,1,1,"No"
1,605,22,1,0,2,2,1,1,2,0,2,2,3,4,3,5,3,3,13600,1,16,2,9600,0,3,996,999,6,3,1,23200,25,2,1,3,1,1000,1,0,0,1,0,1,1,"Yes"
2,507,161,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,16,2,0,66000,1,26,999,1,1,1,66000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"No"
2,505,108,1,2,1,1,2,2,2,0,2,1,1,4,3,5,3,3,0,1,19,2,0,45000,3,996,999,1,1,1,45000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"No"
1,402,16,5,2,2,1,2,2,2,0,1,5,2,4,2,5,2,2,0,3,19,2,0,0,1,152,999,6,6,2,0,154,1,2,3,1,1000,1,0,0,1,0,1,5,"No"
1,902,63,1,2,2,1,2,2,2,0,1,1,1,4,3,5,3,3,0,1,21,2,0,120000,1,210,999,1,1,1,120000,48,1,2,4,9,9000,29,0,0,2,1,1,1,"No"
1,604,46,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,18,2,0,100000,2,51,50,1,1,1,100000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"No"
1,201,193,1,2,2,1,1,1,2,0,2,5,1,4,3,5,3,3,0,1,14,1,3000,500,4,999,999,3,6,1,11700,36,1,1,4,1,1000,1,0,0,1,0,1,1,"No"
2,611,58,1,0,1,2,1,2,2,0,2,1,1,4,3,5,3,3,0,1,18,1,27700,35000,2,32,142,1,1,1,62700,9,1,1,1,1,1000,1,0,0,1,0,1,1,"No"
1,609,96,1,0,1,2,2,2,2,0,2,1,3,4,3,5,3,3,0,1,22,2,0,115000,2,22,51,1,1,1,115000,50,1,2,1,1,1000,1,0,0,1,0,1,1,"No"
2,902,91,1,0,2,2,1,1,2,0,2,1,1,4,2,5,2,2,10100,1,16,2,0,0,1,50,999,6,1,1,26900,25,2,1,4,1,1000,1,0,0,1,0,1,1,"No"
2,806,86,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,22,2,0,95000,2,84,261,1,6,1,95000,36,1,2,3,9,9000,29,0,0,2,1,1,1,"No"
2,703,44,4,2,2,1,1,2,2,0,2,1,1,4,2,5,2,2,6000,1,15,2,1300,0,2,32,171,6,1,2,7300,110,1,1,3,1,1000,1,0,0,1,0,1,5,"No"
2,703,100,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,3,21,2,0,20000,3,996,999,1,1,1,20000,25,1,2,2,8,8000,15,0,0,1,1,0,1,"No"
1,608,77,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,21,1,0,150000,2,148,144,1,6,1,150000,36,1,2,4,1,1000,1,0,0,1,0,1,1,"No"
2,704,175,1,0,1,2,2,1,2,0,1,5,1,4,2,1,2,1,0,2,13,2,0,0,1,261,999,3,6,1,0,25,1,1,3,8,8000,15,0,0,1,1,0,1,"No"
1,1104,36,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,16,1,0,0,1,902,999,6,6,1,0,25,1,2,1,2,3000,2,0,1,1,0,0,1,"No"
2,705,185,5,0,1,2,2,2,2,0,1,1,1,4,2,5,2,2,0,1,19,2,0,0,1,222,999,6,1,2,0,313,1,2,1,8,8000,15,0,0,1,1,0,3,"No"
2,704,212,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,19,1,0,15000,4,999,999,1,6,1,15000,25,1,2,1,1,1000,1,0,0,1,0,1,1,"No"
1,1004,95,1,0,2,2,1,1,2,0,2,1,1,4,2,5,2,2,20000,1,16,1,2400,0,1,82,999,6,1,1,22400,25,2,1,3,1,1000,1,0,0,1,0,1,1,"No"
1,503,162,5,0,2,2,2,1,2,0,1,1,1,4,3,5,3,3,0,1,16,2,0,0,1,360,999,1,1,2,770,362,2,1,4,9,9000,29,0,0,2,1,1,3,"No"
1,301,205,1,0,1,2,1,1,2,0,2,5,3,4,3,5,3,3,0,2,19,1,0,12000,4,999,999,3,6,1,12000,25,1,1,1,1,1000,1,0,0,1,0,1,1,"No"
1,610,36,1,0,2,2,1,2,2,0,2,1,1,4,3,5,3,3,0,1,19,1,0,10000,2,51,32,1,1,1,10000,36,2,1,1,1,1000,1,0,0,1,0,1,1,"No"
1,606,52,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,23,2,0,148000,1,490,999,1,1,1,148000,25,1,2,3,1,1000,1,0,0,1,0,1,1,"No"
2,507,99,1,0,1,2,2,2,2,0,2,2,1,4,3,5,3,3,0,1,20,2,0,90000,1,84,999,1,3,1,90000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"No"
1,1103,148,1,0,1,2,1,1,2,0,2,2,1,4,2,5,2,2,0,1,20,1,0,0,1,51,999,6,3,1,0,25,1,1,2,1,1000,1,0,0,1,0,1,1,"No"
1,604,16,1,0,2,2,1,1,2,0,2,2,3,4,3,5,3,3,8000,1,16,2,11900,0,3,996,999,6,3,1,19900,25,2,1,2,1,1000,1,0,0,1,0,1,1,"Yes"
3,1004,58,1,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,20,2,0,30000,2,26,84,1,6,1,30000,25,1,2,4,1,1000,1,0,0,1,0,1,1,"No"
1,601,60,1,0,1,2,1,2,2,0,2,1,1,4,2,5,2,2,55000,1,21,2,0,0,2,142,50,6,1,1,55000,25,1,1,4,1,1000,1,0,0,1,0,1,1,"No"
2,1201,162,1,0,1,2,2,2,2,0,2,1,1,4,3,5,3,3,0,1,21,2,0,45000,1,87,999,1,1,1,45000,34,1,2,1,1,1000,1,0,0,1,0,1,1,"No"
2,801,62,5,0,1,2,2,2,2,0,2,5,1,4,3,5,3,3,0,1,24,2,0,60000,1,144,999,1,6,2,60000,132,1,2,1,1,1000,1,0,0,1,0,1,5,"No"
1,802,99,2,0,1,2,2,2,2,0,1,1,1,4,3,5,3,3,0,1,24,2,0,57000,2,291,84,1,1,1,57000,72,1,2,2,9,9000,62,0,1,3,1,1,2,"No"
1,501,102,4,0,2,2,2,2,2,0,1,1,1,2,3,3,1,1,0,1,17,1,0,30000,1,360,999,1,1,2,30000,362,2,2,4,9,9000,29,0,0,2,1,1,3,"No"
