"SPORDER","PUMA","PWGTP","CIT","COW","GCL","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS6","INTP","JWTRNS","LANX","MAR","MARHM","MARHT","MARHW","MARHYP","MIG","MIL","NWAB","NWAV","NWLA","NWLK","RETP","SCH","SCHL","SEX","SSP","WAGP","WKHP","WKWN","WRK","ANC","ANC1P","ANC2P","ESR","INDP","MSP","NATIVITY","OC","OCCP","PERNP","PINCP","POBP","POVPIP","POWPUMA","POWSP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","RC","WAOB","Class"
2,611,58,1,1,2,0,1,2,1,2,2,0,1,2,1,2,1,2,1984,1,4,3,5,3,3,0,1,18,1,27700,35000,40,52,1,2,32,142,1,4971,1,1,0,9645,35000,62700,9,501,900,25,1,1,1,1,1000,1,0,0,1,0,1,0,1,"No"
1,609,96,1,2,2,0,1,2,2,2,2,0,1,2,1,2,1,2,2012,3,4,3,5,3,3,0,1,22,2,0,115000,45,52,1,2,22,51,1,8570,1,1,0,2400,115000,115000,50,501,800,25,1,2,1,1,1000,1,0,0,1,0,1,0,1,"No"
2,902,91,1,NA,2,0,2,2,1,1,2,0,NA,2,1,2,1,2,1979,1,4,2,5,2,2,10100,1,16,2,0,0,NA,NA,2,1,50,999,6,NA,1,1,0,NA,0,26900,25,315,NA,NA,2,1,4,1,1000,1,0,0,1,0,1,0,1,"No"
2,806,86,1,5,NA,0,1,2,2,2,2,0,1,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,1,22,2,0,95000,40,52,1,2,84,261,1,9370,6,1,0,2850,95000,95000,36,501,800,25,1,2,3,9,9000,29,0,0,2,1,1,0,1,"No"
2,703,44,4,NA,1,2,2,1,1,2,2,0,NA,2,1,2,1,2,1967,1,4,2,5,2,2,6000,1,15,2,1300,0,NA,NA,2,2,32,171,6,NA,1,2,0,NA,0,7300,110,390,NA,NA,1,1,3,1,1000,1,0,0,1,0,1,0,5,"No"
2,703,100,1,1,2,0,1,2,2,2,2,0,1,2,1,2,1,2,2007,1,4,3,5,3,3,0,3,21,2,0,20000,20,52,1,3,996,999,1,8191,1,1,0,3603,20000,20000,25,67,600,25,1,2,2,8,8000,15,0,0,1,1,0,0,1,"No"
1,1004,278,1,1,2,0,2,2,2,1,2,0,1,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,1,13,2,0,25000,20,5,1,1,902,999,1,7580,6,1,0,3602,25000,29800,25,99,1000,25,2,1,1,2,3000,2,0,1,1,0,0,0,1,"No"
1,608,77,1,1,2,0,1,2,2,2,2,0,3,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,1,21,1,0,150000,50,52,1,2,148,144,1,7780,6,1,0,150,150000,150000,36,501,800,25,1,2,4,1,1000,1,0,0,1,0,1,0,1,"No"
2,704,175,1,1,NA,0,1,2,2,1,2,0,NA,1,5,NA,NA,NA,NA,1,4,2,1,2,1,0,2,13,2,0,0,NA,NA,2,1,261,999,3,4971,6,1,1,4720,0,0,25,93,NA,NA,1,1,3,8,8000,15,0,0,1,1,0,1,1,"No"
1,1104,36,1,NA,2,0,1,2,2,2,2,0,NA,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,1,16,1,0,0,NA,NA,NA,1,902,999,6,NA,6,1,NA,NA,0,0,25,NA,NA,NA,1,2,1,2,3000,2,0,1,1,0,0,NA,1,"No"
