"SPORDER","PUMA","PWGTP","CIT","COW","GCL","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS6","INTP","JWTRNS","LANX","MAR","MARHM","MARHT","MARHW","MARHYP","MIG","MIL","NWAB","NWAV","NWLA","NWLK","RETP","SCH","SCHL","SEX","SSP","WAGP","WKHP","WKWN","WRK","ANC","ANC1P","ANC2P","ESR","INDP","MSP","NATIVITY","OC","OCCP","PERNP","PINCP","POBP","POVPIP","POWPUMA","POWSP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","RC","WAOB","Class"
1,901,389,1,3,2,0,1,2,1,2,2,0,1,2,3,2,1,2,1981,1,4,3,5,3,3,0,1,18,2,21000,107000,38,52,1,1,50,999,1,9370,4,1,0,640,107000,134000,25,501,900,25,1,1,4,1,1000,1,0,0,1,0,1,0,1,"No"
2,506,69,1,7,2,0,1,2,2,2,2,0,1,2,1,2,1,2,1998,1,4,3,5,3,3,0,1,21,1,0,280000,45,52,1,1,50,999,1,3390,1,1,0,4850,280000,280000,25,501,600,25,1,2,3,1,1000,1,0,0,1,0,1,0,1,"No"
1,506,55,1,1,2,2,1,1,1,2,2,0,NA,2,1,2,1,2,1980,1,4,3,1,2,2,0,1,21,1,30000,15000,35,30,2,1,32,999,6,8891,1,1,0,7240,15000,45000,25,501,NA,NA,1,1,1,1,1000,1,0,0,1,0,1,0,1,"No"
1,1004,172,1,1,2,0,1,2,2,2,2,0,1,2,1,2,1,2,1982,1,4,3,5,3,3,0,1,19,1,0,100000,45,52,1,1,26,999,1,8090,1,1,0,7020,100000,100000,25,501,1000,25,1,2,3,1,1000,1,0,0,1,0,1,0,1,"No"
1,100,35,1,1,2,0,2,2,1,2,2,0,1,2,3,2,1,2,1969,1,4,2,1,2,2,19500,1,16,2,20000,3500,5,52,1,1,939,999,1,5481,4,1,0,5120,3500,43000,25,501,100,25,2,1,2,1,1000,1,0,0,1,0,1,0,1,"No"
1,703,117,1,1,2,0,1,2,2,2,2,0,1,2,1,2,1,2,2018,1,4,3,5,3,3,0,1,21,1,0,55000,40,52,1,2,32,88,1,8590,1,1,0,2722,67000,67000,25,501,290,33,1,2,4,1,1000,1,0,0,1,0,1,0,1,"No"
3,1001,97,1,1,NA,2,2,1,2,2,2,0,1,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,2,15,2,0,3000,15,28,1,2,84,142,1,8680,6,1,1,4055,3000,3000,25,501,1000,25,1,2,2,1,1000,1,0,0,1,0,1,1,1,"No"
1,1301,113,1,6,2,0,1,2,2,2,2,0,NA,2,1,2,1,2,1985,1,4,2,5,2,2,0,1,24,1,27000,0,NA,NA,2,2,50,32,6,7980,1,1,0,3010,0,27000,25,311,NA,NA,1,2,3,1,1000,1,0,0,1,0,1,0,1,"No"
2,611,47,1,NA,2,0,1,2,1,2,2,0,NA,2,1,2,2,2,1984,1,3,2,5,2,2,3100,1,18,1,11900,0,NA,NA,2,1,50,999,6,NA,1,1,0,NA,0,15000,25,98,NA,NA,1,1,1,1,1000,1,0,0,1,0,1,0,1,"No"
2,607,41,1,6,2,2,2,1,2,2,2,34000,1,2,1,2,1,2,2012,1,4,3,5,3,3,0,1,21,1,0,0,50,52,1,1,51,999,1,3895,1,1,0,4850,423000,457000,25,501,600,25,1,2,1,1,1000,1,0,0,1,0,1,0,1,"No"
1,301,89,4,2,NA,0,1,2,2,2,2,0,NA,1,5,NA,NA,NA,NA,3,4,3,5,3,3,0,2,18,2,0,250,5,2,NA,4,999,999,6,7890,6,2,NA,2002,250,250,210,NA,NA,NA,1,2,2,6,4025,76,1,0,1,0,0,NA,4,"No"
1,702,41,1,1,2,0,1,2,2,2,2,0,11,2,1,2,1,2,1997,1,3,3,5,3,3,0,1,21,1,0,250000,50,52,1,2,50,32,1,8660,1,1,0,52,250000,250000,34,501,700,25,1,2,1,1,1000,1,0,0,1,0,1,0,1,"No"
1,612,33,5,2,2,0,1,2,1,2,2,300,NA,1,1,2,1,2,1976,3,4,2,5,2,2,80000,1,24,1,45500,0,NA,NA,2,1,740,999,6,7870,1,2,0,2205,0,175800,215,501,NA,NA,1,1,2,6,4002,7,1,0,1,0,0,0,4,"No"
2,201,16,1,NA,2,0,1,2,1,2,2,15700,NA,2,1,2,1,2,1984,1,3,2,5,2,2,3900,1,19,1,22100,0,NA,NA,2,1,22,999,6,NA,1,1,0,NA,0,41700,25,501,NA,NA,1,1,4,1,1000,1,0,0,1,0,1,0,1,"No"
1,603,70,1,1,2,0,2,2,1,2,2,0,1,2,1,2,1,2,1978,1,4,3,5,3,3,0,1,16,1,33600,300000,50,52,1,4,999,999,1,7970,2,1,0,3545,300000,333600,25,501,600,25,2,1,2,1,1000,1,0,0,1,0,1,0,1,"No"
1,805,144,4,7,2,0,2,2,2,1,2,0,1,1,1,2,1,2,1984,1,4,3,5,3,3,0,1,16,2,0,50000,50,52,1,1,785,999,1,8980,1,2,0,440,50000,50000,247,501,1100,25,2,1,3,6,4014,9,1,0,1,0,0,0,4,"No"
1,701,70,1,6,2,0,1,2,2,2,2,0,1,2,4,2,1,2,2019,1,4,3,5,3,3,60000,1,18,1,0,0,40,52,NA,4,999,999,1,770,5,1,0,6410,5000,65000,25,418,700,25,1,2,4,1,1000,1,0,0,1,0,1,0,1,"No"
1,802,29,1,1,NA,0,1,2,2,2,2,0,10,2,5,NA,NA,NA,NA,3,4,3,5,3,3,0,3,21,2,0,150000,40,52,1,1,750,999,1,6970,6,1,0,120,150000,150000,13,501,800,25,1,2,2,6,4003,8,1,0,1,0,0,0,1,"No"
1,703,128,1,1,NA,2,2,1,2,2,2,0,1,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,1,21,2,0,79000,36,52,1,1,51,999,1,6970,6,1,0,850,89100,89100,25,501,700,25,1,2,2,1,1000,1,0,0,1,0,1,0,1,"No"
1,613,95,1,NA,2,0,2,2,1,2,2,0,NA,2,2,2,1,2,2015,3,4,2,5,2,2,0,1,16,1,30000,0,NA,NA,2,3,996,999,6,NA,3,1,NA,NA,0,30000,9,213,NA,NA,2,1,4,1,1000,1,0,0,1,0,1,NA,1,"No"
1,905,286,1,NA,2,0,1,2,1,2,1,0,NA,2,2,2,2,2,1991,1,2,2,5,2,2,0,1,16,1,25000,0,NA,NA,2,1,89,999,6,NA,3,1,0,NA,0,25000,25,173,NA,NA,1,1,1,1,1000,1,0,0,1,0,1,0,1,"No"
2,702,140,2,NA,2,0,2,2,2,1,2,0,NA,1,5,NA,NA,NA,NA,1,4,2,5,2,2,0,1,16,1,0,0,NA,NA,2,1,261,999,6,NA,6,1,0,NA,0,10500,72,67,NA,NA,2,1,2,9,9000,29,0,0,2,1,1,0,2,"Yes"
2,611,48,5,5,2,2,2,1,2,2,2,0,NA,1,1,2,1,2,2018,2,4,2,5,2,2,0,1,21,2,0,0,NA,NA,2,1,740,999,6,9370,1,2,0,5740,0,0,215,300,NA,NA,1,2,3,6,4002,7,1,0,1,0,0,0,4,"No"
1,401,13,1,NA,2,0,2,2,1,1,2,0,NA,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,1,16,2,16400,0,NA,NA,NA,1,939,999,6,NA,6,1,NA,NA,0,16400,25,NA,NA,NA,2,1,4,1,1000,1,0,0,1,0,1,NA,1,"Yes"
3,902,84,1,1,NA,0,1,2,2,2,2,0,1,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,2,13,1,0,1200,6,25,1,2,32,3,1,8680,6,1,1,4110,1200,1200,25,501,900,25,1,2,4,1,1000,1,0,0,1,0,1,1,1,"No"
4,1301,116,1,NA,NA,0,1,2,2,2,2,0,NA,2,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0,2,12,2,0,0,NA,NA,NA,2,51,50,NA,NA,6,1,0,NA,NA,4000,25,501,NA,NA,1,2,2,1,1000,1,0,0,1,0,1,1,1,"No"
1,605,19,1,NA,2,0,2,2,1,1,2,0,NA,2,5,NA,NA,NA,NA,1,4,2,5,2,2,0,1,1,1,0,0,NA,NA,2,3,996,999,6,NA,6,1,NA,NA,0,13100,25,84,NA,NA,2,1,3,1,1000,1,0,0,1,0,1,NA,1,"Yes"
2,1301,74,1,6,2,0,2,2,1,2,2,4400,1,2,1,2,1,2,1977,1,4,3,5,3,3,0,1,22,1,45500,65000,38,50,1,1,50,999,1,7071,1,1,0,800,77000,126900,48,501,1290,25,2,1,4,1,1000,1,0,0,1,0,1,0,1,"No"
2,903,237,1,1,NA,0,1,2,2,2,2,0,1,2,5,NA,NA,NA,NA,3,4,3,5,3,3,0,1,21,1,0,60000,40,52,1,4,999,999,1,7470,6,1,0,51,60000,60000,25,379,900,25,1,2,1,1,1000,1,0,0,1,0,1,0,1,"No"
2,1102,53,1,1,2,0,1,2,2,2,2,0,11,2,1,2,1,2,2007,1,4,3,5,3,3,0,1,21,2,0,130000,60,52,1,3,996,999,1,6991,1,1,0,4840,130000,130000,25,501,1100,25,1,2,1,1,1000,1,0,0,1,0,1,0,1,"No"
1,1301,90,1,1,2,0,2,2,1,2,2,0,NA,2,1,2,2,2,1993,1,4,3,1,3,2,0,1,21,1,1400,0,NA,NA,2,1,185,999,6,6992,1,1,0,4810,0,1400,25,92,NA,NA,2,1,1,1,1000,1,0,0,1,0,1,0,1,"No"
2,804,41,1,3,NA,0,2,2,2,1,2,0,NA,2,5,NA,NA,NA,NA,1,4,2,5,2,2,0,2,16,2,0,0,NA,NA,2,1,902,999,6,5071,6,1,0,3421,0,0,25,411,NA,NA,2,1,1,2,3000,2,0,1,1,0,0,0,1,"No"
1,604,87,1,1,2,0,1,2,2,2,2,0,1,2,1,2,1,2,1986,1,4,3,5,3,3,0,1,24,1,0,250000,70,52,1,2,142,148,1,7870,1,1,0,2205,405000,405000,36,501,600,25,1,2,1,1,1000,1,0,0,1,0,1,0,1,"No"
1,704,55,1,1,NA,0,2,2,2,1,2,0,NA,2,5,NA,NA,NA,NA,3,4,3,5,3,3,0,1,13,1,0,0,NA,NA,NA,1,902,999,6,5392,6,1,NA,7315,0,0,36,NA,NA,NA,2,1,1,2,3000,2,0,1,1,0,0,NA,1,"No"
1,506,58,1,4,2,0,1,2,2,2,2,0,1,2,1,2,2,2,2001,1,4,3,5,3,3,0,1,21,2,0,93000,38,52,1,1,50,999,1,9480,2,1,0,1980,93000,93000,20,501,600,25,1,2,2,1,1000,1,0,0,1,0,1,0,1,"No"
1,1104,42,4,1,2,0,1,2,2,2,2,0,1,1,1,2,1,2,1993,1,4,3,5,3,3,0,1,21,2,0,40000,40,52,1,1,615,999,1,8290,1,2,0,3150,40000,40000,210,336,1290,25,1,2,4,6,4015,4,1,0,1,0,0,0,4,"No"
2,1201,142,1,1,2,0,1,2,2,2,2,0,1,2,1,2,1,2,2012,1,4,3,5,3,3,0,1,21,1,0,200000,40,52,1,1,924,999,1,4991,1,1,0,4760,200000,200000,36,501,1290,25,1,2,2,1,1000,1,0,0,1,0,1,0,1,"No"
2,604,56,1,3,2,0,1,2,2,2,2,363000,NA,2,1,2,1,2,1990,1,4,2,5,2,2,81000,1,22,1,0,0,NA,NA,2,1,50,999,6,7860,1,1,0,230,0,529000,25,501,NA,NA,1,2,3,1,1000,1,0,0,1,0,1,0,1,"No"
1,613,52,1,1,NA,0,1,2,2,2,2,0,NA,2,5,NA,NA,NA,NA,3,4,2,5,2,2,0,3,18,2,0,1000,8,20,2,1,50,999,6,8270,6,1,NA,3603,1000,1000,33,NA,NA,NA,1,2,3,1,1000,1,0,0,1,0,1,NA,1,"No"
1,1002,80,1,1,2,0,1,2,2,2,2,0,1,2,1,2,1,2,1983,1,4,3,5,3,3,0,1,21,1,0,130000,50,52,1,2,50,939,1,3580,1,1,0,440,130000,130000,25,501,900,25,1,2,1,1,1000,1,0,0,1,0,1,0,1,"No"
1,601,48,1,NA,2,2,1,1,1,2,2,1900,NA,2,1,2,1,2,1981,1,4,2,5,2,2,82000,1,21,1,27000,0,NA,NA,2,1,935,999,6,NA,1,1,0,NA,0,110900,25,501,NA,NA,1,1,2,1,1000,1,0,0,1,0,1,0,1,"No"
1,702,50,1,6,2,0,1,2,2,2,2,-2100,11,2,1,2,1,2,1998,1,4,3,5,3,3,0,1,23,1,0,0,60,52,1,2,51,939,1,7270,1,1,0,2100,170000,167900,25,501,700,25,1,2,3,1,1000,1,0,0,1,0,1,0,1,"No"
1,1101,162,4,3,2,0,1,2,1,2,2,0,NA,1,1,2,1,2,2022,1,4,2,5,2,2,39000,1,21,1,1900,0,NA,NA,2,2,795,720,6,7860,1,2,0,3160,0,40900,233,501,NA,NA,1,1,4,6,4008,6,1,0,1,0,0,0,4,"No"
1,100,72,1,2,2,2,1,1,1,2,2,91000,NA,2,5,NA,NA,NA,NA,1,4,2,1,2,2,169000,1,22,2,28000,0,NA,NA,2,2,148,142,6,7890,6,1,0,2555,0,288600,36,501,NA,NA,1,1,1,1,1000,1,0,0,1,0,1,0,1,"No"
2,507,120,1,1,2,0,1,2,2,2,2,0,1,2,1,2,1,2,2009,1,4,3,5,3,3,0,1,19,1,0,95000,45,52,1,2,50,22,1,770,1,1,0,6355,95000,95000,25,501,400,25,1,2,3,1,1000,1,0,0,1,0,1,0,1,"No"
2,503,102,5,1,NA,0,2,2,2,1,2,0,12,1,1,2,1,2,2017,3,4,3,5,3,3,0,1,16,1,0,40000,40,52,1,1,360,999,1,770,1,2,0,6600,40000,40000,362,164,500,25,2,1,1,9,9000,62,0,1,3,1,1,0,3,"No"
1,904,72,1,2,2,0,2,2,1,2,2,0,NA,2,1,2,1,2,1978,1,4,2,3,2,2,36000,1,16,2,0,0,NA,NA,2,1,50,999,6,8191,1,1,0,350,0,36000,25,297,NA,NA,2,1,1,1,1000,1,0,0,1,0,1,0,1,"No"
3,902,38,1,NA,NA,0,1,2,2,2,2,0,NA,2,5,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,0,2,12,1,0,0,NA,NA,NA,2,190,706,NA,NA,6,1,1,NA,NA,0,6,501,NA,NA,1,2,2,9,9000,19,1,0,2,0,1,1,1,"No"
2,613,61,4,1,2,0,1,2,2,2,2,0,1,2,4,2,1,2,2008,3,4,2,5,2,2,0,1,16,1,0,75000,50,52,1,1,799,999,1,8680,5,2,0,4020,75000,75000,236,492,600,25,1,2,4,6,4025,10,1,0,1,0,0,0,4,"No"
4,402,57,1,NA,2,0,1,2,1,2,2,0,NA,2,2,2,1,2,1948,1,4,3,5,2,3,9000,1,13,2,19800,0,NA,NA,2,1,935,999,6,NA,3,1,0,NA,0,28800,25,501,NA,NA,1,1,4,1,1000,1,0,0,1,0,1,0,1,"No"
2,904,121,1,1,NA,0,1,2,2,2,2,0,1,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,1,16,1,0,41000,45,52,1,2,51,50,1,770,6,1,0,6442,41000,41000,25,501,1000,25,1,2,3,1,1000,1,0,0,1,0,1,0,1,"No"
1,1104,32,1,NA,2,0,2,2,1,2,1,0,NA,2,3,2,1,2,1965,1,2,2,5,2,2,0,1,16,1,13500,0,NA,NA,2,4,999,999,6,NA,4,1,NA,NA,0,15300,25,108,NA,NA,2,1,4,1,1000,1,0,0,1,0,1,NA,1,"No"
3,502,18,1,1,NA,0,1,2,2,2,2,0,1,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,1,19,1,0,78000,45,52,1,1,785,999,1,3570,6,1,0,7020,78000,78000,25,501,500,25,1,2,2,6,4014,9,1,0,1,0,0,0,1,"No"
1,506,54,1,8,2,0,1,2,2,2,2,0,1,2,1,2,1,2,1977,1,4,2,5,2,2,0,1,16,2,0,25500,40,50,1,1,142,999,1,5680,1,1,0,5860,25500,25500,25,321,500,25,1,2,2,1,1000,1,0,0,1,0,1,0,1,"No"
1,611,93,4,NA,2,0,1,2,2,2,2,0,NA,1,1,2,1,2,1997,1,4,2,5,2,2,0,1,15,2,0,0,NA,NA,2,1,615,999,6,NA,1,2,0,NA,0,0,210,358,NA,NA,1,2,4,6,4015,4,1,0,1,0,0,0,4,"No"
1,609,113,1,2,2,0,1,2,2,2,2,0,1,2,1,2,1,2,1976,1,4,3,5,3,3,0,1,16,2,0,23000,42,52,NA,4,999,999,1,8290,1,1,0,4020,23000,23000,6,186,600,25,1,2,1,1,1000,1,0,0,1,0,1,0,1,"No"
1,1104,62,1,NA,2,2,1,1,1,2,2,0,NA,2,1,2,1,2,1976,1,4,2,5,2,2,27600,1,21,1,5800,0,NA,NA,2,2,50,22,6,NA,1,1,0,NA,0,33400,25,275,NA,NA,1,1,2,1,1000,1,0,0,1,0,1,0,1,"No"
2,611,117,1,1,2,0,1,2,2,2,2,0,1,2,1,1,1,2,2022,1,4,3,5,3,3,0,1,21,2,0,100000,40,52,1,4,999,999,1,8191,1,1,0,3255,100000,100000,25,501,600,25,1,2,2,1,1000,1,0,0,1,0,1,0,1,"No"
1,608,115,1,1,2,0,1,2,2,2,2,0,1,2,1,1,1,2,2023,1,4,3,5,3,3,0,1,21,2,0,200000,45,52,1,1,935,999,1,2190,1,1,0,8740,200000,202700,25,501,600,25,1,2,4,1,1000,1,0,0,1,0,1,0,1,"No"
3,906,73,1,1,NA,0,1,2,2,2,2,0,11,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,2,19,2,0,7500,12,41,1,2,142,50,1,8680,6,1,0,4020,7500,7500,25,501,900,25,1,2,2,1,1000,1,0,0,1,0,1,0,1,"No"
1,502,66,1,NA,2,2,2,1,2,2,2,363000,NA,2,1,2,1,2,2001,1,4,2,5,2,2,0,1,21,1,0,0,NA,NA,2,1,939,999,6,NA,1,1,0,NA,0,363000,9,501,NA,NA,1,2,4,1,1000,1,0,0,1,0,1,0,1,"No"
2,503,42,1,NA,2,0,2,2,1,1,2,0,NA,2,5,NA,NA,NA,NA,1,4,2,5,2,2,0,1,21,2,15000,0,NA,NA,2,1,89,999,6,NA,6,1,0,NA,0,15000,25,102,NA,NA,2,1,1,1,1000,1,0,0,1,0,1,0,1,"Yes"
2,100,17,1,1,2,0,1,2,2,2,2,0,1,2,1,2,1,2,2014,1,4,3,5,3,3,0,1,16,1,0,185000,50,52,1,1,51,999,1,570,1,1,0,7410,185000,185000,25,501,100,25,1,2,2,1,1000,1,0,0,1,0,1,0,1,"No"
1,602,240,1,3,2,0,1,2,2,2,2,0,1,2,4,2,1,2,1998,3,4,3,5,3,3,0,1,22,2,0,100000,40,52,1,2,50,425,1,7860,5,1,0,2014,100000,100000,25,432,600,25,1,2,1,1,1000,1,0,0,1,0,1,0,1,"No"
1,507,59,1,4,2,0,1,2,2,2,2,0,1,2,1,2,2,2,2016,1,4,2,3,2,2,0,1,23,2,0,16100,37,52,1,2,51,50,1,9470,1,1,0,2015,16100,16100,25,133,500,25,1,2,3,1,1000,1,0,0,1,0,1,0,1,"No"
2,402,768,1,1,NA,0,1,2,2,2,2,0,1,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,3,18,2,0,20000,15,52,1,1,261,999,1,5071,6,1,0,4700,20000,20000,25,318,400,25,1,2,1,9,9000,30,0,1,2,0,0,0,1,"No"
2,806,106,1,NA,2,0,1,2,1,1,2,9000,NA,2,5,NA,NA,NA,NA,1,4,2,5,2,2,62000,1,23,2,3400,0,NA,NA,2,2,50,32,6,NA,6,1,0,NA,0,74400,25,501,NA,NA,1,1,3,1,1000,1,0,0,1,0,1,0,1,"Yes"
1,904,84,1,3,2,0,1,2,2,2,2,0,1,2,3,2,2,2,2014,1,4,3,5,3,3,0,1,22,2,0,126000,35,52,1,2,88,89,1,7860,4,1,0,2330,126000,126000,25,501,800,25,1,2,2,1,1000,1,0,0,1,0,1,0,1,"No"
1,803,72,4,1,2,0,1,2,1,2,2,30000,NA,2,1,2,1,2,1978,1,4,2,5,2,2,0,1,19,1,25000,70000,40,52,2,1,308,999,6,770,1,2,0,6355,70000,125000,333,501,NA,NA,1,1,2,2,3000,2,0,1,1,0,0,0,3,"No"
1,1104,65,1,NA,2,0,2,2,2,2,2,0,NA,1,5,NA,NA,NA,NA,1,4,3,5,3,3,0,1,16,1,0,0,NA,NA,NA,1,510,999,6,NA,6,1,NA,NA,0,0,25,NA,NA,NA,2,2,3,8,8000,15,0,0,1,1,0,NA,1,"No"
1,403,28,1,NA,2,0,2,2,1,2,2,0,NA,2,1,2,1,2,1981,1,4,2,5,2,2,0,1,16,2,1800,0,NA,NA,2,2,26,50,6,NA,1,1,0,NA,0,1800,25,230,NA,NA,2,1,4,1,1000,1,0,0,1,0,1,0,1,"No"
1,902,172,4,2,NA,0,1,2,2,2,2,0,12,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,1,22,2,0,60000,55,52,1,2,103,223,1,7870,6,2,0,2205,60000,60000,117,381,600,25,1,2,1,1,1000,1,0,0,1,0,1,0,5,"No"
2,610,58,1,1,NA,0,1,2,2,2,2,1000,11,2,5,NA,NA,NA,NA,3,4,3,5,3,3,0,1,21,2,0,75000,40,52,1,2,50,51,1,6390,6,1,0,705,75000,76000,42,496,600,25,1,2,2,1,1000,1,0,0,1,0,1,0,1,"No"
1,1002,74,1,3,2,2,2,1,2,2,2,0,1,2,1,2,1,2,1999,1,4,3,5,3,3,0,1,18,2,0,1300,37,5,1,1,50,999,1,7860,1,1,0,2545,1300,1300,25,501,1000,25,1,2,1,1,1000,1,0,0,1,0,1,0,1,"No"
1,905,60,5,1,2,0,1,2,2,2,2,0,1,1,1,2,1,2,1987,1,4,3,5,3,3,0,1,16,1,0,35000,40,52,1,1,785,999,1,3960,1,2,0,7750,35000,35000,247,501,900,25,1,2,1,6,4014,9,1,0,1,0,0,0,4,"No"
2,801,149,1,1,2,0,2,2,2,2,2,80,NA,2,3,2,1,2,1993,1,4,3,5,3,3,0,1,21,2,0,25500,40,23,NA,4,999,999,6,3291,4,1,0,1551,25500,25580,34,418,NA,NA,2,2,1,1,1000,1,0,0,1,0,1,0,1,"No"
1,613,22,4,1,NA,2,2,1,2,2,2,0,NA,1,5,NA,NA,NA,NA,1,4,3,5,3,3,0,3,18,2,0,3000,9,10,NA,4,999,999,3,4981,6,2,NA,4720,3000,3000,210,NA,NA,NA,1,2,3,6,4015,4,1,0,1,0,0,NA,4,"No"
1,602,92,1,2,2,0,2,2,2,1,2,0,11,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,1,22,1,0,90000,40,52,1,4,999,999,1,7870,6,1,0,1105,90000,90000,36,501,600,25,2,1,1,9,9000,22,1,0,2,0,1,0,1,"No"
2,703,212,1,3,2,0,1,2,2,2,2,0,NA,2,1,1,1,2,2022,1,4,1,5,2,3,0,1,22,2,0,86000,40,52,1,2,51,50,2,7860,1,1,0,2300,86000,86000,25,501,NA,NA,1,2,1,1,1000,1,0,0,1,0,1,0,1,"No"
1,606,120,1,NA,2,0,2,2,1,1,2,0,NA,2,5,NA,NA,NA,NA,1,4,3,5,3,2,0,2,18,2,0,0,NA,NA,2,4,999,999,6,NA,6,1,0,NA,0,1500,25,9,NA,NA,2,1,4,1,1000,1,0,0,1,0,1,0,1,"No"
2,905,84,1,1,2,1,2,1,1,1,2,0,NA,2,5,NA,NA,NA,NA,1,4,1,5,2,3,0,1,16,1,3600,3800,6,52,1,2,50,51,2,4971,6,1,0,4220,3800,10400,25,58,NA,NA,1,1,1,1,1000,1,0,0,1,0,1,0,1,"Yes"
1,1001,313,1,1,NA,2,1,1,2,2,2,0,1,2,1,1,1,2,2022,1,4,3,5,3,3,0,1,19,2,0,46000,38,52,1,2,84,50,1,6871,1,1,0,2360,46000,46000,44,501,1000,25,1,2,2,1,1000,1,0,0,1,0,1,0,1,"No"
1,612,61,5,1,2,0,1,2,2,2,2,4500,11,1,1,2,1,2,2006,1,4,3,5,3,3,0,1,21,1,0,197000,40,52,1,1,740,999,1,7380,1,2,0,1021,197000,201500,215,501,600,25,1,2,1,6,4002,7,1,0,1,0,0,0,4,"No"
1,506,17,1,NA,2,0,2,2,1,2,2,0,NA,2,1,2,1,2,1966,1,4,2,5,2,2,61000,1,21,2,4800,0,NA,NA,2,2,50,931,6,NA,1,1,0,NA,0,65800,25,501,NA,NA,2,1,4,1,1000,1,0,0,1,0,1,0,1,"No"
1,803,27,4,NA,2,0,1,2,1,1,2,0,NA,2,3,2,1,2,1978,1,4,3,5,3,3,0,1,16,2,6000,0,NA,NA,NA,1,308,999,6,NA,4,2,NA,NA,0,6000,333,NA,NA,NA,1,1,4,2,3000,2,0,1,1,0,0,NA,3,"No"
3,806,48,1,1,NA,0,2,2,2,2,2,0,NA,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,2,16,1,0,5000,20,6,NA,4,999,999,6,8680,6,1,0,4110,5000,5000,6,501,NA,NA,2,2,1,1,1000,1,0,0,1,0,1,0,1,"No"
1,803,66,5,1,2,0,2,2,2,1,2,0,NA,1,3,2,1,2,2011,1,4,2,1,2,1,0,1,19,2,0,2000,40,24,2,1,275,999,3,4971,4,2,0,4720,2000,7000,329,34,NA,NA,2,1,3,9,9000,62,0,1,3,1,1,0,3,"No"
2,502,335,1,4,2,0,1,2,2,2,2,0,NA,2,1,2,1,2,2006,1,4,3,5,3,3,0,1,16,1,0,58000,60,52,1,4,999,999,6,6170,1,1,0,9620,58000,58000,25,274,NA,NA,1,2,4,1,1000,1,0,0,1,0,1,0,1,"No"
1,706,97,1,1,2,0,1,2,2,2,2,0,11,2,5,NA,NA,NA,NA,1,4,3,5,3,3,0,1,21,1,0,125000,40,52,1,2,50,32,1,7460,6,1,0,160,125000,125000,19,501,700,25,1,2,3,1,1000,1,0,0,1,0,1,0,1,"No"
2,100,82,1,3,2,0,1,2,2,2,2,0,1,2,1,2,1,2,2009,1,4,3,5,3,3,0,1,16,2,0,28000,25,52,1,4,999,999,1,7860,1,1,0,4030,28000,28000,9,384,100,25,1,2,2,1,1000,1,0,0,1,0,1,0,1,"No"
3,805,322,5,1,2,0,1,2,2,2,2,0,1,2,3,2,1,2,2005,1,4,3,5,3,3,0,1,18,1,0,55000,40,52,1,1,335,999,1,8570,4,2,0,4251,55000,55000,249,452,800,25,1,2,2,2,3000,2,0,1,1,0,0,0,4,"No"
1,402,82,1,2,2,0,2,2,1,1,2,0,1,1,1,2,2,2,2018,1,4,2,3,2,2,0,3,21,2,0,54000,40,52,1,2,290,261,1,8370,1,1,0,420,54000,54000,25,501,400,25,2,1,4,1,1000,1,0,0,1,0,1,0,1,"Yes"
1,505,26,1,1,NA,0,1,2,2,2,2,0,NA,2,5,NA,NA,NA,NA,1,4,2,3,2,2,0,3,18,1,0,30900,40,52,2,2,50,51,6,8590,6,1,NA,4435,30900,30900,25,NA,NA,NA,1,2,4,1,1000,1,0,0,1,0,1,NA,1,"No"
1,503,55,1,1,2,0,1,2,2,2,2,260,11,2,1,2,1,2,2010,1,4,3,5,3,3,0,1,21,2,0,183000,49,52,1,2,32,111,1,7280,1,1,0,940,183000,183260,48,501,500,25,1,2,3,1,1000,1,0,0,1,0,1,0,1,"No"
1,501,39,1,NA,2,0,2,2,1,2,2,30,NA,2,1,2,2,2,1993,1,2,2,5,2,2,11100,1,16,1,27400,0,NA,NA,2,4,999,999,6,NA,1,1,0,NA,0,38530,25,356,NA,NA,1,1,2,1,1000,1,0,0,1,0,1,0,1,"No"
1,1201,55,1,2,2,2,1,1,1,2,2,10000,NA,2,1,2,1,2,1976,1,4,2,5,2,2,26000,1,20,1,26000,0,NA,NA,2,2,22,87,6,6070,1,1,0,9030,0,62000,25,501,NA,NA,1,1,3,1,1000,1,0,0,1,0,1,0,1,"No"
