"SPORDER","PUMA","PWGTP","CIT","HIMRKS","HINS1","HINS2","HINS3","HINS4","HINS6","INTP","LANX","MAR","MIG","MIL","NWAB","NWAV","NWLA","NWLK","RETP","SCH","SCHL","SEX","SSP","WAGP","ANC","ANC1P","ANC2P","ESR","MSP","NATIVITY","PINCP","POBP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACASN","RACBLK","RACNUM","RACSOR","RACWHT","WAOB","Class"
1,201,1.31863282335352,1,2,2,1,1,1,2,-0.134550377530303,2,5,1,4,3,5,3,3,-0.27456392637561,1,14,1,-0.124380361071362,-0.59996781575556,4,999,999,3,6,1,-0.604903626994023,36,1,1,4,1,1000,1,0,0,1,0,1,1,0
2,611,-0.462994487131218,1,0,1,2,1,2,2,-0.134550377530303,2,1,1,4,3,5,3,3,-0.27456392637561,1,18,1,2.57134343210236,-0.176058026614256,2,32,142,1,1,1,-0.0337397223424167,9,1,1,1,1,1000,1,0,0,1,0,1,1,0
1,609,0.0385006076718924,1,0,1,2,2,2,2,-0.134550377530303,2,1,3,4,3,5,3,3,-0.27456392637561,1,22,2,-0.451796206396106,0.806921194582971,2,22,51,1,1,1,0.551983262231682,50,1,2,1,1,1000,1,0,0,1,0,1,1,0
2,902,-0.0274855890127274,1,0,2,2,1,1,2,-0.134550377530303,2,1,1,4,2,5,2,2,0.380633646599936,1,16,2,-0.451796206396106,-0.606111435888042,1,50,999,6,1,1,-0.434674384823348,25,2,1,4,1,1000,1,0,0,1,0,1,1,0
2,806,-0.0934717856973473,1,0,1,2,2,2,2,-0.134550377530303,2,5,1,4,3,5,3,3,-0.27456392637561,1,22,2,-0.451796206396106,0.561176389283664,2,84,261,1,6,1,0.327997417270267,36,1,2,3,9,9000,29,0,0,2,1,1,1,0
2,703,-0.647755837848154,4,2,2,1,1,2,2,-0.134550377530303,2,1,1,4,2,5,2,2,0.114662354599962,1,15,2,-0.309916006755383,-0.606111435888042,2,32,171,6,1,2,-0.654180512885534,110,1,1,3,1,1000,1,0,0,1,0,1,5,0
2,703,0.0912895650195883,1,0,1,2,2,2,2,-0.134550377530303,2,1,1,4,3,5,3,3,-0.27456392637561,3,21,2,-0.451796206396106,-0.360366630588736,3,996,999,1,1,1,-0.511949501335036,25,1,2,2,8,8000,15,0,0,1,1,0,1,0
1,1004,2.44039816699206,1,0,2,2,2,1,2,-0.134550377530303,2,5,1,4,3,5,3,3,-0.27456392637561,1,13,2,-0.451796206396106,-0.298930429263909,1,902,999,1,6,1,-0.402196437303943,25,2,1,1,2,3000,2,0,1,1,0,0,1,0
1,608,-0.212246939729663,1,0,1,2,2,2,2,-0.134550377530303,2,5,1,4,3,5,3,3,-0.27456392637561,1,21,1,-0.451796206396106,1.23697460385676,2,148,144,1,6,1,0.943958490914157,36,1,2,4,1,1000,1,0,0,1,0,1,1,0
2,704,1.08108251528889,1,0,1,2,2,1,2,-0.134550377530303,1,5,1,4,2,1,2,1,-0.27456392637561,2,13,2,-0.451796206396106,-0.606111435888042,1,261,999,3,6,1,-0.73593534629645,25,1,1,3,8,8000,15,0,0,1,1,0,1,0
1,1104,-0.753333752543546,1,0,1,2,2,2,2,-0.134550377530303,2,5,1,4,3,5,3,3,-0.27456392637561,1,16,1,-0.451796206396106,-0.606111435888042,1,902,999,6,6,1,-0.73593534629645,25,1,2,1,2,3000,2,0,1,1,0,0,1,0
1,704,0.737954292528863,5,0,1,2,2,2,2,-0.134550377530303,1,1,1,4,3,5,3,3,-0.27456392637561,1,22,1,-0.451796206396106,2.58857103300294,1,615,999,1,1,2,2.17588063820194,210,1,2,1,6,4015,4,1,0,1,0,0,4,0
2,705,1.21305490865813,5,0,1,2,2,2,2,-0.134550377530303,1,1,1,4,2,5,2,2,-0.27456392637561,1,19,2,-0.451796206396106,-0.606111435888042,1,222,999,6,1,2,-0.73593534629645,313,1,2,1,8,8000,15,0,0,1,1,0,3,0
2,704,1.56938037075507,1,0,1,2,2,2,2,-0.134550377530303,2,5,1,4,3,5,3,3,-0.27456392637561,1,19,1,-0.451796206396106,-0.421802831913562,4,999,999,1,6,1,-0.56794596257539,25,1,2,1,1,1000,1,0,0,1,0,1,1,0
1,1004,0.0253033683349685,1,0,2,2,1,1,2,-0.134550377530303,2,1,1,4,2,5,2,2,1.02285701020963,1,16,1,-0.189863530136311,-0.606111435888042,1,82,999,6,1,1,-0.485071199939666,25,2,1,3,1,1000,1,0,0,1,0,1,1,0
